"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","WBGeneID"
"1",6.86298472095109e-19,1.22358882036238,0.626,0.282,9.20326251079541e-15,"0","clec-83","WBGene00021879"
"2",6.02201162918285e-46,2.31860080469207,0.977,0.367,8.0755175947342e-42,"3","clec-17","WBGene00008477"
"3",3.87461899917645e-48,2.00747630753733,1,0.347,5.19586407789561e-44,"3","clec-66","WBGene00009397"
"4",8.84298983887614e-34,1.6493326799425,0.886,0.269,1.18584493739329e-29,"3","clec-63","WBGene00009394"
"5",2.47705618277233e-63,1.6182557083062,0.932,0.173,3.3217323410977e-59,"3","clec-41","WBGene00007153"
"6",1.58941237623432e-27,1.34166595990975,0.409,0.06,2.13140199653022e-23,"3","clec-37","WBGene00013609"
"7",1.76194778999039e-44,1.31952675928238,0.693,0.127,2.36277198637712e-40,"3","clec-10","WBGene00015403"
"8",2.51969383119121e-35,1.170094598365,0.568,0.098,3.37890942762741e-31,"3","clec-174","WBGene00021580"
"9",1.86556364304745e-40,1.14866637980076,0.693,0.142,2.50172084532663e-36,"3","clec-4","WBGene00012583"
"10",2.05270405227504e-51,2.3405239765097,0.943,0.264,2.75267613410083e-47,"4","clec-63","WBGene00009394"
"11",3.04344823867936e-57,1.97688916028291,0.874,0.167,4.08126408806902e-53,"4","clec-265","WBGene00019738"
"12",2.33346841676465e-71,1.54172283788416,0.655,0.049,3.12918114688139e-67,"4","clec-56","WBGene00008595"
"13",4.53638594205695e-37,1.51902634881153,0.954,0.315,6.08329354829837e-33,"4","clec-72","WBGene00021583"
"14",3.83393384823639e-36,1.49674555595402,0.977,0.35,5.141305290485e-32,"4","clec-66","WBGene00009397"
"15",1.99339525633649e-16,1.2838092257446,0.701,0.264,2.67314303874724e-12,"4","clec-50","WBGene00012253"
"16",1.15514374511764e-76,1.19548105604225,0.793,0.083,1.54904776220275e-72,"4","clec-62","WBGene00009393"
"17",1.28248080760385e-33,1.12642957383193,0.609,0.118,1.71980676299676e-29,"4","clec-85","WBGene00021872"
"18",4.00269597170964e-45,1.11828817172159,0.793,0.167,5.36761529806263e-41,"4","clec-5","WBGene00016450"
"19",1.29356631503961e-59,1.09986582219765,0.77,0.105,1.73467242846811e-55,"4","clec-65","WBGene00009396"
"20",1.01192048681041e-34,1.96626660913296,0.976,0.366,1.35698537281276e-30,"5","clec-266","WBGene00016088"
"21",1.41377324277824e-54,2.35117794485272,1,0.214,1.89586991856562e-50,"6","clec-196","WBGene00009156"
"22",5.3842791694164e-40,2.26048398419365,1,0.37,7.2203183661874e-36,"6","clec-266","WBGene00016088"
"23",1.28587346975721e-31,1.66093566341558,0.878,0.256,1.72435632294442e-27,"7","clec-50","WBGene00012253"
"24",1.20816131475723e-40,1.58287077709525,0.649,0.104,1.62014432308945e-36,"7","clec-48","WBGene00007565"
"25",1.37319983363207e-35,1.46466775047153,0.932,0.282,1.84146097690061e-31,"7","clec-83","WBGene00021879"
"26",6.27090879479309e-29,1.14406312577807,0.823,0.202,8.40928869381753e-25,"8","clec-41","WBGene00007153"
"27",9.60406966552904e-28,1.13432649613041,0.484,0.064,1.28790574214744e-23,"8","clec-37","WBGene00013609"
"28",2.48482684869652e-10,2.03271085490519,0.655,0.408,3.33215280410203e-06,"9","clec-17","WBGene00008477"
"29",1.90897863475261e-39,3.77905155667888,1,0.243,2.55994034920325e-35,"10","clec-196","WBGene00009156"
"30",3.38592355608297e-24,2.37781000308593,1,0.393,4.54052348870726e-20,"10","clec-266","WBGene00016088"
"31",3.82592438167916e-40,3.16767237856736,0.436,0.022,5.13056459583175e-36,"11","clec-78","WBGene00018547"
"32",1.09948459690238e-77,2.30512906862154,0.714,0.015,1.47440884444609e-73,"13","cle-1","WBGene00000527"
