"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"dct-18",3.37256042591853e-33,1.03605159969142,0.971,0.921,4.59814888469732e-29,"0","dct-18"
"PDB1.1",4.87313910819159e-31,1.4276723322035,0.743,0.287,6.64403786010841e-27,"0","PDB1.1"
"C18A11.3",2.36413833809985e-30,1.29932956012847,0.787,0.283,3.22326621016533e-26,"0","C18A11.3"
"C12D12.1",1.61338552481601e-28,1.30251736748392,0.912,0.423,2.19968982453415e-24,"0","C12D12.1"
"R09H10.5",1.4713037054322e-27,1.31778342945399,0.912,0.457,2.00597547198626e-23,"0","R09H10.5"
"T04C12.1",3.65500243047729e-26,1.26023321366015,0.897,0.656,4.98323031371273e-22,"0","T04C12.1"
"ttr-41",7.40087752005235e-26,1.04430872166058,0.949,0.749,1.00903564108394e-21,"0","ttr-41"
"T04F3.4",7.51416755832756e-25,1.15041004771507,0.882,0.591,1.02448160490238e-20,"0","T04F3.4"
"Y51H4A.24",1.31343583092561e-24,1.24371682664058,0.603,0.197,1.79073841188397e-20,"0","Y51H4A.24"
"irg-7",5.55343355388231e-24,1.18726697120443,0.919,0.532,7.57155130736314e-20,"0","irg-7"
"W02B12.1",5.21342870866816e-23,1.18487047044824,0.743,0.398,7.10798870139818e-19,"0","W02B12.1"
"nspg-14",1.18293265045072e-22,1.04986889994161,0.963,0.677,1.61281037562451e-18,"0","nspg-14"
"aqp-4",3.64543279922156e-22,1.17282508592825,0.897,0.584,4.97018307845868e-18,"0","aqp-4"
"T28F3.8",4.65270163457243e-22,1.42947458254267,0.551,0.17,6.34349340857605e-18,"0","T28F3.8"
"mct-6",5.52751807278714e-22,-1.13333867424535,0.213,0.661,7.53621814043798e-18,"0","mct-6"
"nspg-9",1.00016086586143e-21,1.07090526547699,0.934,0.638,1.36361932451547e-17,"0","nspg-9"
"nspg-10",1.53083396520233e-20,1.00530711181994,0.934,0.482,2.08713902815686e-16,"0","nspg-10"
"ZC204.12",5.33725413164411e-20,-1.8869226060697,0.184,0.604,7.27681228308358e-16,"0","ZC204.12"
"ifd-2",3.82787152141706e-19,1.01421871955107,0.919,0.683,5.21892003230002e-15,"0","ifd-2"
"clec-83",5.01441409797141e-19,1.27042404633568,0.713,0.362,6.83665218117421e-15,"0","clec-83"
"T16G12.1",8.51371367989665e-19,1.02308086674764,0.779,0.418,1.16075972311711e-14,"0","T16G12.1"
"F19B2.5",9.82587533759476e-19,1.2425192290207,0.875,0.554,1.33965984352767e-14,"0","F19B2.5"
"Y71F9B.9",2.22397062746965e-18,1.14445004391378,0.779,0.67,3.03216155349212e-14,"0","Y71F9B.9"
"F48D6.4",2.61210798768333e-18,1.02328433034965,0.897,0.867,3.56134803040745e-14,"0","F48D6.4"
"T25C12.3",5.31357775091901e-18,1.08468342715239,0.897,0.464,7.24453190560297e-14,"0","T25C12.3"
"M28.8",4.9491385130307e-16,1.09552887303218,0.765,0.421,6.74765544866606e-12,"0","M28.8"
"acs-14",5.67687063204382e-16,-1.19883235484877,0.191,0.53,7.73984541972855e-12,"0","acs-14"
"Y38H6C.24",5.72030692284195e-16,1.28665708485583,0.566,0.231,7.79906645860272e-12,"0","Y38H6C.24"
"ceh-37",6.24727041570151e-16,-1.26192991065318,0.074,0.439,8.51752848476744e-12,"0","ceh-37"
"apy-1",7.36278247571593e-16,-1.236225063676,0.61,0.814,1.00384176273911e-11,"0","apy-1"
"ftn-2",8.58061374633452e-16,-2.45280283764826,0.596,0.78,1.16988087817525e-11,"0","ftn-2"
"pdi-2",1.11982344983977e-15,-1.00586098389267,0.838,0.939,1.52676729151154e-11,"0","pdi-2"
"inx-3",2.07991594851359e-15,-1.71332145849486,0.029,0.378,2.83575740420342e-11,"0","inx-3"
"VF13D12L.3",2.26252071592122e-15,1.46046203321553,0.743,0.588,3.084720744087e-11,"0","VF13D12L.3"
"C31C9.2",2.90834100806441e-15,-1.49195357024417,0.044,0.398,3.96523213039502e-11,"0","C31C9.2"
"F49E12.10",4.71629759625667e-15,1.11979330912199,0.647,0.339,6.43020014273635e-11,"0","F49E12.10"
"acdh-1",7.62204863894956e-15,-1.06230276246724,0.963,0.966,1.03919011143438e-10,"0","acdh-1"
"fbxc-51",2.18801088213572e-14,-1.32563019490629,0.015,0.344,2.98313403670385e-10,"0","fbxc-51"
"rmd-2",2.26216128318566e-14,-1.8374965840941,0.596,0.783,3.08423069349533e-10,"0","rmd-2"
"sams-5",3.35986618367787e-14,-1.56041472685818,0.037,0.366,4.58084155482641e-10,"0","sams-5"
"gana-1",1.07552459847966e-13,-1.06968948048777,0.213,0.545,1.46637023756717e-09,"0","gana-1"
"igcm-3",1.14970584137686e-13,-1.45939427368407,0.051,0.371,1.56750894413322e-09,"0","igcm-3"
"ttr-52",3.2825154148279e-13,-1.3058839852897,0.066,0.382,4.47538151657636e-09,"0","ttr-52"
"ZK899.2",4.7470219662727e-13,-1.49009766583404,0.265,0.554,6.47208974881621e-09,"0","ZK899.2"
"T24B8.3",5.96019996781505e-13,-1.30047147506238,0.471,0.708,8.12613663611904e-09,"0","T24B8.3"
"maoc-1",8.06896072873926e-13,-1.32868422324163,0.61,0.776,1.10012210575631e-08,"0","maoc-1"
"ugt-53",9.36751605218165e-13,-1.3188765943571,0.007,0.303,1.27716713855445e-08,"0","ugt-53"
"inx-2",9.82251218637299e-13,-1.2851931264865,0.037,0.339,1.33920131149009e-08,"0","inx-2"
"ctsa-1.2",2.27067695706367e-12,-3.02508110755535,0.081,0.382,3.09584096326061e-08,"0","ctsa-1.2"
"C07D10.5",2.57721265320368e-12,-1.10837840336481,0.029,0.321,3.5137717313779e-08,"0","C07D10.5"
"T12G3.4",3.7499932974162e-12,-1.21723948374432,0.118,0.421,5.11274086169724e-08,"0","T12G3.4"
"mig-6",5.79971164865632e-12,-1.98564864627473,0.118,0.409,7.90732686177803e-08,"0","mig-6"
"clec-196",6.30333257464143e-12,-3.74086320010646,0.132,0.412,8.59396363226612e-08,"0","clec-196"
"his-60",6.35331059456775e-12,-1.31884590107395,0.037,0.324,8.66210366463367e-08,"0","his-60"
"his-59",9.93310239100633e-12,-1.03964221435837,0.022,0.303,1.3542791799898e-07,"0","his-59"
"Y32F6A.5",1.15443013441598e-11,-2.39500261827501,0.015,0.292,1.57395004526274e-07,"0","Y32F6A.5"
"his-1",1.25665169275491e-11,-1.12432653321647,0.022,0.299,1.71331891790205e-07,"0","his-1"
"his-64",1.26983691933093e-11,-2.06102097889255,0.059,0.342,1.73129565581578e-07,"0","his-64"
"C10A4.3",1.46758777821228e-11,-1.20362030508749,0.037,0.315,2.00090917681462e-07,"0","C10A4.3"
"afd-1",1.52043354053611e-11,-1.27186114829887,0.279,0.561,2.07295908916693e-07,"0","afd-1"
"gba-3",1.63888349266248e-11,-1.56963440189786,0.066,0.348,2.23445375389603e-07,"0","gba-3"
"rnst-2",1.87017523044157e-11,-1.66132106224745,0.11,0.387,2.54979690918404e-07,"0","rnst-2"
"pmp-2",1.89328988579107e-11,-1.3234040831047,0.397,0.627,2.58131143028755e-07,"0","pmp-2"
"Y94H6A.10",1.9504083148872e-11,1.26539530008884,0.684,0.453,2.65918669651721e-07,"0","Y94H6A.10"
"C35E7.5",2.21439341958417e-11,-1.18507059768095,0.044,0.324,3.01910398826105e-07,"0","C35E7.5"
"F52A8.1",3.00211809126631e-11,-1.12111506306844,0.331,0.59,4.09308780563249e-07,"0","F52A8.1"
"hmg-1.1",4.21320813020997e-11,-1.51833231333886,0.493,0.672,5.74428796472828e-07,"0","hmg-1.1"
"dao-2",4.59847946691569e-11,-3.60127565718823,0.118,0.387,6.26956690519286e-07,"0","dao-2"
"fgt-1",5.19177151681746e-11,-1.22491391939586,0.265,0.511,7.07846128602892e-07,"0","fgt-1"
"C14H10.2",5.26844141354339e-11,-1.03423107431258,0.022,0.285,7.18299302322505e-07,"0","C14H10.2"
"T19B10.2",5.27122105011902e-11,-2.55682491730682,0.213,0.464,7.18678277973227e-07,"0","T19B10.2"
"cht-4",8.52261044041286e-11,-1.0331710868385,0.088,0.36,1.16197270744589e-06,"0","cht-4"
"his-32",1.06055021566633e-10,-1.02317178932827,0.015,0.272,1.44595416403948e-06,"0","his-32"
"unc-129",1.13373105269753e-10,-1.0429088763224,0.029,0.29,1.54572891724781e-06,"0","unc-129"
"atz-1",1.31908204737166e-10,-1.61188692860904,0.11,0.371,1.79843646338653e-06,"0","atz-1"
"ubq-1",1.36781083154352e-10,-1.15635761363393,0.647,0.806,1.86487328772643e-06,"0","ubq-1"
"C06A8.8",1.63160518027287e-10,-1.16889138535641,0.088,0.357,2.22453050278403e-06,"0","C06A8.8"
"EEED8.2",2.11150290983342e-10,-1.67861777825804,0.316,0.538,2.87882306726689e-06,"0","EEED8.2"
