"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","WBGeneID"
"1",1.08174912885742e-57,2.23142538625899,0.985,0.342,1.47485676228421e-53,"0","clec-266","WBGene00016088"
"2",1.21394611851042e-11,-1.01603331338347,0.03,0.311,1.6550941379771e-07,"0","clec-41","WBGene00007153"
"3",6.87710859780075e-10,-1.40589203395553,0.149,0.407,9.37624986224154e-06,"0","clec-83","WBGene00021879"
"4",8.10381586174491e-20,-1.44644923962515,0.052,0.476,1.1048742545903e-15,"0","clec-72","WBGene00021583"
"5",3.04092845486241e-17,-2.15871740824959,0,0.38,4.14600185535941e-13,"0","clec-50","WBGene00012253"
"6",5.50250773850347e-17,-2.26147866524054,0.022,0.399,7.50211905067563e-13,"0","clec-63","WBGene00009394"
"7",1.32694378800568e-26,-2.33876498683161,0,0.528,1.80915516056694e-22,"0","clec-66","WBGene00009397"
"8",1.7051945537028e-23,-2.52475080890398,0.022,0.502,2.3248622545184e-19,"0","clec-17","WBGene00008477"
"9",7.06230155873412e-63,2.73497589942227,0.922,0.23,9.6287419451781e-59,"1","clec-50","WBGene00012253"
"10",7.28209241246106e-61,2.18742799997298,0.948,0.279,9.9284047951494e-57,"1","clec-83","WBGene00021879"
"11",5.79303306692426e-50,1.87724149390406,0.609,0.091,7.89822128344453e-46,"1","clec-48","WBGene00007565"
"12",9.76452519785714e-37,1.04050595639958,0.513,0.087,1.33129536547584e-32,"1","clec-84","WBGene00021895"
"13",1.6440623636158e-11,-1.3269382889379,0.104,0.421,2.24151462655377e-07,"1","clec-140","WBGene00020220"
"14",2.56720139268429e-11,-3.49067580828198,0.061,0.365,3.50012237878575e-07,"1","clec-196","WBGene00009156"
"15",2.33072711426209e-14,-5.08736424982606,0.139,0.487,3.17771334758493e-10,"1","clec-266","WBGene00016088"
"16",6.64177914508098e-49,2.61892831968374,0.96,0.36,9.05540168640341e-45,"3","clec-17","WBGene00008477"
"17",2.79148113657054e-24,1.41039083648995,0.869,0.392,3.80590538160027e-20,"3","clec-66","WBGene00009397"
"18",1.96899690185552e-46,1.31600537485405,0.636,0.095,2.68453037598982e-42,"3","clec-174","WBGene00021580"
"19",9.27154235120624e-39,1.1398270584807,0.818,0.197,1.26408208416346e-34,"3","clec-41","WBGene00007153"
"20",2.98254123155007e-65,1.01527209847295,0.455,0.013,4.06639671509537e-61,"3","clec-166","WBGene00009518"
"21",2.53571512123728e-07,-1.28012601230949,0.172,0.405,0.00345719399629491,"3","clec-140","WBGene00020220"
"22",5.49993929769068e-09,-3.46985003852643,0.081,0.356,7.49861723847148e-05,"3","clec-196","WBGene00009156"
"23",1.31951463638704e-14,-5.26288084319946,0.091,0.486,1.79902625525008e-10,"3","clec-266","WBGene00016088"
"24",8.68738991517142e-21,2.92128023138007,0.684,0.348,1.18443874103447e-16,"4","clec-140","WBGene00020220"
"25",3.02774552345151e-08,-1.00567679474201,0,0.294,0.000412802824667379,"4","clec-41","WBGene00007153"
"26",5.8843327651215e-13,-1.41368286370921,0.013,0.451,8.02269929196665e-09,"4","clec-72","WBGene00021583"
"27",6.92500638311378e-12,-1.74013780876512,0,0.404,9.44155370273733e-08,"4","clec-83","WBGene00021879"
"28",2.44088245768512e-09,-1.85522508442675,0.013,0.352,3.32789914280789e-05,"4","clec-50","WBGene00012253"
"29",4.79384551225473e-10,-1.9797297148156,0.013,0.374,6.5359289714081e-06,"4","clec-63","WBGene00009394"
"30",7.2748770621672e-15,-2.24776701439804,0.013,0.49,9.91856738655876e-11,"4","clec-66","WBGene00009397"
"31",1.8215733076133e-14,-2.46391011662789,0,0.471,2.48353304759997e-10,"4","clec-17","WBGene00008477"
"32",7.88498297965958e-09,-1.03131065730623,0.041,0.41,0.000107503857944679,"5","clec-140","WBGene00020220"
"33",2.33140256867391e-07,-1.17409420702026,0.11,0.457,0.00317863426213001,"5","clec-17","WBGene00008477"
"34",1.88567494172055e-09,-1.40808964571608,0.082,0.48,2.5709292155418e-05,"5","clec-66","WBGene00009397"
"35",1.78726806697349e-09,-2.14698992701653,0.014,0.371,2.43676128251166e-05,"5","clec-63","WBGene00009394"
"36",4.34378493452568e-57,4.02308459239855,1,0.268,5.92231637973231e-53,"6","clec-196","WBGene00009156"
"37",7.87462320421238e-39,2.48281654606703,1,0.394,1.07362612766232e-34,"6","clec-266","WBGene00016088"
"38",7.65134570292971e-11,-1.41574597359046,0.029,0.443,1.04318447313744e-06,"6","clec-72","WBGene00021583"
"39",1.20565995326213e-09,-1.65145013070164,0.015,0.397,1.64379678027758e-05,"6","clec-83","WBGene00021879"
"40",8.25220796217172e-09,-2.06362996782861,0,0.349,0.000112510603356249,"6","clec-50","WBGene00012253"
"41",1.97373545142276e-09,-2.18728554976721,0,0.37,2.69099091446979e-05,"6","clec-63","WBGene00009394"
"42",3.20700332807536e-13,-2.24034570370299,0,0.484,4.37242833749794e-09,"6","clec-66","WBGene00009397"
"43",1.66176661106938e-12,-2.44763787284944,0,0.465,2.26565259753199e-08,"6","clec-17","WBGene00008477"
"44",5.91947733817611e-48,2.54755325457109,1,0.286,8.07061540286931e-44,"7","clec-63","WBGene00009394"
"45",5.945426763585e-78,1.85090274910144,0.791,0.055,8.10599484947178e-74,"7","clec-56","WBGene00008595"
"46",2.73187659132054e-42,1.69592983938668,0.91,0.2,3.72464054460643e-38,"7","clec-265","WBGene00019738"
"47",1.77883666147219e-28,1.47536631761595,0.985,0.363,2.42526590425118e-24,"7","clec-72","WBGene00021583"
"48",1.29509250678375e-26,1.3320621757096,1,0.4,1.76572912374896e-22,"7","clec-66","WBGene00009397"
"49",7.56051745542032e-30,1.28997204958671,0.687,0.144,1.03080094987201e-25,"7","clec-85","WBGene00021872"
"50",8.74649490220036e-36,1.21542412431913,0.836,0.195,1.192497114966e-31,"7","clec-5","WBGene00016450"
"51",7.16732720849393e-72,1.16027458674014,0.925,0.101,9.77193391606063e-68,"7","clec-62","WBGene00009393"
"52",6.96808533891754e-57,1.11616557125368,0.896,0.127,9.50028755108018e-53,"7","clec-65","WBGene00009396"
"53",1.19519184851753e-56,1.00223039780474,0.537,0.03,1.6295245662688e-52,"7","clec-227","WBGene00008593"
"54",1.69070059742387e-106,2.65186163784536,0.907,0.037,2.30510119452771e-102,"8","clec-37","WBGene00013609"
"55",2.16393643396812e-25,2.1412036488573,0.981,0.299,2.95031093407214e-21,"8","clec-63","WBGene00009394"
"56",1.62239929184383e-130,1.93108137693189,0.907,0.02,2.21197919449987e-126,"8","clec-28","WBGene00009857"
"57",7.57172082056216e-42,1.88514265794117,0.963,0.222,1.03232841667544e-37,"8","clec-41","WBGene00007153"
"58",4.74105982536221e-111,1.86592806406329,0.833,0.023,6.46396096589884e-107,"8","clec-26","WBGene00011852"
"59",2.38111562971142e-110,1.81991733188802,0.815,0.021,3.24641304954856e-106,"8","clec-36","WBGene00044332"
"60",1.21866645643509e-27,1.44183313982217,0.741,0.154,1.66152984670361e-23,"8","clec-10","WBGene00015403"
"61",5.28126016107795e-12,1.22535247272312,0.889,0.417,7.20047010361368e-08,"8","clec-66","WBGene00009397"
"62",4.75159193537604e-22,2.34180437873263,0.44,0.034,6.4783204446917e-18,"9","clec-78","WBGene00018547"
