new cluster markers,avg_log2FC,cluster,,old cluster markers,avg_log2FC,cluster,,,,
ttr-50,3.322341435,0,,dct-18,1.314713081,0,,,,
cpz-1,2.988652326,0,,PDB1.1,1.313017717,0,,,,
cpl-1,2.801231114,0,,R09H10.5,1.465261159,0,,,,
R11A5.3,2.612275572,0,,C12D12.1,1.288299575,0,,,,
cnc-10,2.407260336,0,,C18A11.3,1.292435474,0,,,,
dao-2,2.28076513,0,,W02B12.1,1.101716499,0,,,,
clec-266,2.231425386,0,,ttr-41,1.188993654,0,,,,
F46E10.2,2.132279024,0,,T04F3.4,1.180472836,0,,,,
ppt-1,2.116030573,0,,Y71F9B.9,1.324411282,0,,,,
hsp-70,2.079879818,0,,Y51H4A.24,1.126582504,0,,,,
C10A4.3,2.024783658,0,,F49E12.10,1.051731053,0,,,,
hsp-16.41,1.994227481,0,,T04C12.1,1.250944433,0,,,,
ent-2,1.908964683,0,,irg-7,1.247086664,0,,,,
T19D7.6,1.89015406,0,,T19D12.1,1.074381355,0,,,,
F12E12.11,1.876900161,0,,T16G12.1,1.180161219,0,,,,
C33G3.4,1.837443442,0,,F48D6.4,1.167691079,0,,,,
cpr-6,1.787280739,0,,Y34B4A.6,1.089659732,0,,,,
F07H5.13,1.783488722,0,,F19B2.5,1.468861136,0,,,,
T19B10.2,1.780027771,0,,F19C7.1,1.193018171,0,,,,
hsp-16.2,1.744490784,0,,aqp-4,1.269946613,0,,,,
aman-1,1.739587366,0,,F08G2.5,1.325696847,0,,,,
mig-6,1.703954256,0,,K09D9.1,1.179732181,0,,,,
ugt-13,1.693680902,0,,Y94H6A.10,1.318547091,0,,,,
cest-17,1.691681592,0,,zip-10,1.119246667,0,,,,
pmp-2,1.674170483,0,,clec-83,1.22358882,0,,,,
C14H10.2,1.669028239,0,,Y16B4A.2,1.002426776,0,,,,
T16G12.13,1.664579266,0,,ugt-21,1.016354503,0,,,,
rnst-2,1.645481888,0,,T25C12.3,1.164733795,0,,,,
cyn-6,1.63921298,0,,VF13D12L.3,1.226393274,0,,,,
ugt-53,1.636019534,0,,pgph-3,1.117878525,0,,,,
klo-1,1.626053631,0,,K10G6.5,1.058782942,0,,,,
sams-5,1.624219693,0,,lipl-2,1.135954756,0,,,,
ZK899.2,1.613353986,0,,hlh-2,1.852589272,1,,,,
ttr-52,1.610577123,0,,ceh-43,1.755287521,1,,,,
cyp-34A9,1.567135419,0,,F13E9.11,3.050439984,1,,,,
snu-13,1.537320074,0,,hmg-1.1,3.832806303,1,,,,
nhr-178,1.53215612,0,,aqp-2,3.360944138,1,,,,
cht-4,1.507864883,0,,cav-1,4.419136777,1,,,,
lam-3,1.496516523,0,,igcm-4,1.704415039,1,,,,
ftn-2,1.474147518,0,,Y17G9B.2,2.681996356,1,,,,
lact-4,1.425601862,0,,act-4,2.369653437,1,,,,
gba-3,1.40842974,0,,W04A8.4,3.131315156,1,,,,
ech-1.2,1.407047437,0,,casy-1,2.990759382,1,,,,
ZK550.6,1.400432303,0,,hil-7,4.09360219,1,,,,
F59C12.4,1.393285287,0,,tba-1,2.750253784,1,,,,
C54D10.13,1.359336167,0,,lgg-1,1.832048064,1,,,,
unc-129,1.356764177,0,,T02E9.5,3.798443787,1,,,,
lmp-1,1.332266268,0,,Y7A9D.1,2.701039369,1,,,,
B0495.7,1.331826389,0,,F48E3.6,1.762573347,1,,,,
lam-1,1.32684788,0,,C24H12.1,1.681702538,1,,,,
fgt-1,1.32623598,0,,his-72,2.33055566,1,,,,
gln-3,1.321258763,0,,aat-3,1.557043178,1,,,,
F52A8.1,1.313949183,0,,ztf-6,1.626454566,1,,,,
lam-2,1.307842793,0,,hmg-11,3.196640452,1,,,,
maoc-1,1.298935249,0,,dnj-27,1.311458977,1,,,,
T12G3.4,1.273759014,0,,hil-2,3.775600674,1,,,,
dif-1,1.246261512,0,,W03G11.4,2.037643367,1,,,,
acs-14,1.243427797,0,,htz-1,3.33672764,1,,,,
W01A11.1,1.241279665,0,,his-64,2.789109385,1,,,,
epi-1,1.239569312,0,,C08F1.10,2.389102427,1,,,,
fat-3,1.226461316,0,,M03F4.6,1.285315425,1,,,,
ugt-23,1.225825299,0,,C46C2.2,1.510366665,1,,,,
