"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"enpl-1",8.81877241248068e-26,-4.38240787629496,0.312,0.891,9.66890207304381e-22,"0","enpl-1"
"ctc-1",4.43372311399287e-25,-4.27686882997646,0.422,0.909,4.86113402218178e-21,"0","ctc-1"
"apl-1",7.19564318627177e-25,-3.07163035596009,0.219,0.863,7.88930318942837e-21,"0","apl-1"
"nduo-1",8.23188005170798e-25,-4.18164393783368,0.328,0.894,9.02543328869263e-21,"0","nduo-1"
"ndfl-4",1.18959524931885e-24,-3.94911550834304,0.734,0.95,1.30427223135318e-20,"0","ndfl-4"
"tos-1",1.36447624285978e-24,-2.98185265328974,0.125,0.831,1.49601175267146e-20,"0","tos-1"
"pdi-6",1.40386123471302e-24,-3.36493153498368,0.156,0.847,1.53919345773935e-20,"0","pdi-6"
"nduo-4",4.6413187280431e-24,-3.7849165897561,0.328,0.878,5.08874185342645e-20,"0","nduo-4"
"atp-6",5.57188821608722e-24,-4.68063736909385,0.703,0.925,6.10901824011802e-20,"0","atp-6"
"hsp-3",6.92196956246064e-24,-3.82735183062331,0.234,0.853,7.58924742828185e-20,"0","hsp-3"
"cpi-2",7.66938060042603e-24,-3.11703942119022,0.078,0.812,8.4087088903071e-20,"0","cpi-2"
"ctc-2",1.40373444460739e-23,-4.45211650343482,0.625,0.912,1.53905444506754e-19,"0","ctc-2"
"ctc-3",1.56868529800671e-23,-4.46662032306785,0.766,0.922,1.71990656073456e-19,"0","ctc-3"
"F54D1.6",2.04600305820784e-23,-3.71295371501539,0.219,0.831,2.24323775301907e-19,"0","F54D1.6"
"nduo-6",3.25347377711871e-23,-4.11165018494026,0.719,0.922,3.56710864923296e-19,"0","nduo-6"
"eef-1A.2",5.86641099715111e-23,-3.76581025386709,0.172,0.828,6.43193301727647e-19,"0","eef-1A.2"
"crt-1",7.36251403707085e-23,-4.35376240090328,0.781,0.953,8.07226039024448e-19,"0","crt-1"
"eef-2",9.47442224766774e-23,-4.36684201069925,0.594,0.919,1.03877565523429e-18,"0","eef-2"
"anc-1",1.10770440507014e-22,-3.42047306344284,0.312,0.859,1.21448710971891e-18,"0","anc-1"
"pdi-3",1.57660829148688e-22,-3.87154369854652,0.297,0.844,1.72859333078622e-18,"0","pdi-3"
"nduo-5",1.80442335589794e-22,-3.05274146207197,0.141,0.822,1.9783697674065e-18,"0","nduo-5"
"ajm-1",1.97320009122088e-22,-3.23042661768195,0.359,0.863,2.16341658001457e-18,"0","ajm-1"
"F14B8.5",2.7610294646682e-22,-3.20278082959436,0.234,0.816,3.02719270506222e-18,"0","F14B8.5"
"Y37D8A.16",4.43805797227796e-22,-3.75656286311922,0.328,0.838,4.86588676080556e-18,"0","Y37D8A.16"
"sec-61.A",4.60429250984059e-22,-3.14667111529476,0.203,0.816,5.04814630778923e-18,"0","sec-61.A"
"ctb-1",8.56815885738455e-22,-3.6850358528624,0.438,0.866,9.39412937123642e-18,"0","ctb-1"
"pdi-1",2.19244940427955e-21,-2.22577217912745,0.047,0.747,2.4038015268521e-17,"0","pdi-1"
"his-72",2.37239922509597e-21,-3.00583694002228,0.094,0.778,2.60109851039522e-17,"0","his-72"
"ribo-1",4.42718115286008e-21,-2.63032780493008,0.109,0.769,4.85396141599579e-17,"0","ribo-1"
