"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"hpo-8",2.41291650785283e-30,-1.51401755170047,0.053,0.776,3.23572103703064e-26,"0","hpo-8"
"sca-1",5.60333219209061e-30,-1.23322596208841,0.116,0.885,7.51406846959351e-26,"0","sca-1"
"cpt-4",1.94791993141966e-27,-1.35194297909972,0.084,0.807,2.61216062803377e-23,"0","cpt-4"
"dhs-3",2.67766517068388e-27,-1.08629335740475,0.084,0.819,3.59074899388708e-23,"0","dhs-3"
"trap-1",1.37084407270167e-26,-1.22434341537058,0.116,0.853,1.83830190149294e-22,"0","trap-1"
"acp-5",2.43934027052506e-25,-1.13960284001569,0.011,0.65,3.27115530277411e-21,"0","acp-5"
"gcs-1",1.15846164041165e-23,-1.32633541529094,0.011,0.618,1.55349705979202e-19,"0","gcs-1"
"C46G7.1",3.34702897621898e-23,-1.15808445724559,0.116,0.785,4.48836585710965e-19,"0","C46G7.1"
"F42H10.6",6.24932628278541e-23,-1.35177754163453,0.021,0.622,8.38034654521523e-19,"0","F42H10.6"
"T28F4.5",2.54002607028436e-22,-1.05888042553928,0.189,0.875,3.40617496025133e-18,"0","T28F4.5"
"clc-1",3.33777986759315e-21,-1.38447287719678,0.011,0.579,4.47596280244242e-17,"0","clc-1"
"sptl-3",3.91667626039452e-21,-1.01983341589772,0.011,0.577,5.25226286518905e-17,"0","sptl-3"
"pmp-5",5.44589388737154e-21,-1.17695711323881,0.116,0.755,7.30294370296524e-17,"0","pmp-5"
"cest-4",7.61502816647165e-21,-1.03061882521011,0.042,0.625,1.02117527712385e-16,"0","cest-4"
"ugt-22",1.3136385224889e-20,-1.30777384781614,0.179,0.831,1.76158925865762e-16,"0","ugt-22"
"gtl-1",2.51387245699815e-20,-1.70390714490554,0.021,0.569,3.37110296483452e-16,"0","gtl-1"
"zig-9",4.69956383367342e-20,-1.72078124698396,0.011,0.557,6.30211510095606e-16,"0","zig-9"
"clec-66",9.56015431485984e-20,-2.1935018884218,0.032,0.576,1.2820166936227e-15,"0","clec-66"
"C05C12.4",9.65153484638584e-20,-1.80800708135684,0.032,0.589,1.29427082290034e-15,"0","C05C12.4"
"C26B9.5",1.37923312579463e-19,-1.58861851497508,0.074,0.64,1.8495516216906e-15,"0","C26B9.5"
"K06A9.1",2.05628774961662e-19,-1.23912873434717,0.032,0.583,2.75748187223589e-15,"0","K06A9.1"
"hrg-1",3.20136466717715e-19,-1.09121076398486,0.021,0.553,4.29303001868456e-15,"0","hrg-1"
"C49C3.4",8.32219636333303e-19,-1.14274415271576,0.074,0.633,1.11600653232296e-14,"0","C49C3.4"
"C18H9.6",1.02866163396068e-18,-2.44792262299759,0.011,0.529,1.37943525114128e-14,"0","C18H9.6"
"nep-17",3.00261799838961e-18,-2.10824642043283,0.168,0.718,4.02651073584047e-14,"0","nep-17"
"F49E2.2",3.03475135075665e-18,-1.04882993905638,0.053,0.585,4.06960156136466e-14,"0","F49E2.2"
"F41G3.18",3.59707338374928e-18,-1.04091649547068,0.042,0.569,4.82367540760778e-14,"0","F41G3.18"
"pcp-1",5.78198064293113e-18,-1.58680240345573,0.105,0.662,7.75363604217064e-14,"0","pcp-1"
"gst-5",8.07337092094378e-18,-1.90540510709669,0.095,0.647,1.08263904049856e-13,"0","gst-5"
"bgal-1",9.06549145699313e-18,-1.53761961726995,0.021,0.52,1.21568240438278e-13,"0","bgal-1"
"C29F3.7",9.06633894660291e-18,-1.78769186971996,0.053,0.588,1.21579605273945e-13,"0","C29F3.7"
"F56F10.1",1.01684950372884e-17,-1.08549481538992,0.095,0.666,1.36359518450038e-13,"0","F56F10.1"
"C42D4.1",1.46433198273465e-17,-1.53271047970014,0.011,0.508,1.96366918884717e-13,"0","C42D4.1"
"asp-2",1.99590946543844e-17,-1.32964776726788,0.095,0.634,2.67651459315294e-13,"0","asp-2"
"T24C4.4",2.1432489551856e-17,-1.90884264249805,0,0.483,2.87409684890389e-13,"0","T24C4.4"
"F56C9.8",2.30407818378332e-17,-1.02794065375889,0.084,0.642,3.08976884445344e-13,"0","F56C9.8"
"pcp-3",2.3421541380228e-17,-1.77819597969776,0.032,0.544,3.14082869908857e-13,"0","pcp-3"
"F59B1.2",2.35292580969073e-17,-1.51713526428743,0.116,0.656,3.15527351079528e-13,"0","F59B1.2"
"F35E12.9",2.39291237066865e-17,-1.10347886738522,0.084,0.633,3.20889548906666e-13,"0","F35E12.9"
"hmit-1.1",2.94948621867154e-17,-1.61395693421505,0.032,0.529,3.95526101923854e-13,"0","hmit-1.1"
"ugt-62",3.21695047650086e-17,-1.61001461988009,0.074,0.592,4.31393058898766e-13,"0","ugt-62"
