"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"R09H10.5",9.03318012552309e-37,1.4652611594926,0.885,0.34,1.21134945483265e-32,"0","R09H10.5"
"F19B2.5",2.12051696798585e-24,1.46886113576265,0.835,0.414,2.84361325406903e-20,"0","F19B2.5"
"hlh-2",8.78119971745153e-53,1.8525892719248,0.354,0.013,1.17755888211025e-48,"1","hlh-2"
"ceh-43",8.15762889106546e-48,1.75528752098873,0.283,0.006,1.09393803429188e-43,"1","ceh-43"
"F13E9.11",2.6556015638609e-43,3.05043998434716,0.384,0.03,3.56116169713747e-39,"1","F13E9.11"
"hmg-1.1",1.74480365468514e-39,3.83280630279813,0.909,0.577,2.33978170093277e-35,"1","hmg-1.1"
"aqp-2",3.64417302349693e-39,3.360944138074,0.566,0.098,4.88683602450939e-35,"1","aqp-2"
"cav-1",6.86997053511908e-38,4.41913677728151,0.596,0.135,9.21263048759468e-34,"1","cav-1"
"igcm-4",1.70972208853698e-32,1.70441503906591,0.303,0.025,2.2927373207281e-28,"1","igcm-4"
"Y17G9B.2",2.15234549160276e-32,2.68199635582985,0.404,0.058,2.8862953042393e-28,"1","Y17G9B.2"
"act-4",5.34355478174666e-32,2.36965343650416,0.788,0.362,7.16570696232227e-28,"1","act-4"
"W04A8.4",2.27117013691272e-31,3.13131515596434,0.727,0.304,3.04563915359996e-27,"1","W04A8.4"
"casy-1",1.83124978969193e-30,2.99075938158451,0.263,0.018,2.45570596797687e-26,"1","casy-1"
"hil-7",2.63597472185757e-30,4.09360219022136,0.737,0.294,3.534842102011e-26,"1","hil-7"
"tba-1",8.95708839312824e-30,2.7502537839752,0.616,0.201,1.2011455535185e-25,"1","tba-1"
"lgg-1",2.31844914964382e-29,1.8320480642653,0.889,0.766,3.10904030967236e-25,"1","lgg-1"
"T02E9.5",7.86406521088445e-28,3.79844378719022,0.586,0.168,1.0545711447796e-23,"1","T02E9.5"
"Y7A9D.1",5.09946782766731e-27,2.70103936868965,0.414,0.076,6.83838635690186e-23,"1","Y7A9D.1"
"F48E3.6",5.46601100499554e-26,1.76257334745557,0.333,0.048,7.32992075769902e-22,"1","F48E3.6"
"C24H12.1",2.09850906799513e-25,1.68170253797228,0.394,0.075,2.81410066018147e-21,"1","C24H12.1"
"his-72",9.36899733479025e-25,2.33055565954506,0.848,0.765,1.25638254259537e-20,"1","his-72"
"aat-3",1.55406850800199e-24,1.55704317751065,0.333,0.051,2.08400586923066e-20,"1","aat-3"
"ztf-6",3.55744539379507e-24,1.62645456648964,0.313,0.044,4.77053427307919e-20,"1","ztf-6"
"hmg-11",1.02772855225589e-23,3.19664045165248,0.727,0.441,1.37818398857514e-19,"1","hmg-11"
"hil-2",7.12346226642783e-23,3.77560067391189,0.707,0.37,9.55256289927972e-19,"1","hil-2"
"W03G11.4",8.75722212774299e-22,2.037643366622,0.323,0.053,1.17434348733034e-17,"1","W03G11.4"
"htz-1",3.26147619335254e-21,3.33672763997738,0.727,0.501,4.37363957528575e-17,"1","htz-1"
"his-64",4.10146856387654e-21,2.78910938457572,0.616,0.265,5.50006934415844e-17,"1","his-64"
"C08F1.10",6.77408560836402e-21,2.38910242710036,0.515,0.17,9.08404880081615e-17,"1","C08F1.10"
"C46C2.2",2.71741063946324e-19,1.51036666453748,0.525,0.196,3.64404766752021e-15,"1","C46C2.2"
"efhd-1",3.57323608512082e-19,1.52365703721602,0.313,0.061,4.79170959014702e-15,"1","efhd-1"
"T23F2.5",5.80939842158011e-19,1.82450559402684,0.404,0.108,7.79040328333892e-15,"1","T23F2.5"
"egl-30",5.85371303650635e-19,2.02164818663951,0.747,0.588,7.84982918195502e-15,"1","egl-30"
"T22C1.6",6.4626124138109e-19,1.58169478001407,0.485,0.163,8.66636324692041e-15,"1","T22C1.6"
"his-59",8.77067821275121e-19,2.46657494560963,0.545,0.225,1.17614794832994e-14,"1","his-59"
"his-60",1.72485778443332e-18,2.67663260188416,0.556,0.245,2.31303428892508e-14,"1","his-60"
"sto-1",2.30760545128555e-18,2.69766803968762,0.545,0.234,3.09449891017392e-14,"1","sto-1"
"asp-4",2.41819775834754e-18,3.15041531903314,0.404,0.116,3.24280319394405e-14,"1","asp-4"
"chdp-1",9.08946954099948e-18,1.88776967528952,0.737,0.466,1.21889786544803e-13,"1","chdp-1"
"his-24",1.03606045710279e-17,4.20086707606395,0.636,0.378,1.38935707297484e-13,"1","his-24"
"cey-1",2.84994119335718e-17,1.62228480384261,0.768,0.611,3.82177114029198e-13,"1","cey-1"
"cdh-4",6.90274305037771e-17,1.66526917521798,0.576,0.266,9.25657843055651e-13,"1","cdh-4"
"hmg-1.2",8.32332659218442e-17,2.21606761505254,0.717,0.569,1.11615809601193e-12,"1","hmg-1.2"
"EEED8.15",8.65251643438414e-17,1.61408727738709,0.475,0.173,1.16030245385091e-12,"1","EEED8.15"
"mcm-7",1.60547877606535e-16,2.03248915281382,0.333,0.084,2.15294703870363e-12,"1","mcm-7"
"nurf-1",1.77517703761715e-16,1.50037879726314,0.869,0.733,2.38051240744459e-12,"1","nurf-1"
"C17E4.20",1.88275995470858e-16,1.75226467725359,0.606,0.288,2.52478109926421e-12,"1","C17E4.20"
"ftt-2",2.04163101827119e-16,1.95402680292272,0.818,0.754,2.73782719550166e-12,"1","ftt-2"
"his-63",2.42543633259305e-16,1.98476036091602,0.485,0.183,3.25251012200728e-12,"1","his-63"
"his-1",3.5503325474985e-16,1.89759238725686,0.535,0.222,4.76099594619548e-12,"1","his-1"
"sup-26",3.75404092108297e-16,2.18955463847532,0.657,0.444,5.03416887517226e-12,"1","sup-26"
"cdl-1",3.93205894517507e-16,2.12844956548291,0.444,0.166,5.27289104547976e-12,"1","cdl-1"
"C11H1.7",8.01826448312667e-16,1.52920281613593,0.323,0.081,1.07524926718729e-11,"1","C11H1.7"
"his-32",1.2452183132006e-15,2.58863298305086,0.475,0.187,1.669837758002e-11,"1","his-32"
"inx-3",1.66165489418552e-15,1.75016797382802,0.576,0.262,2.22827921310278e-11,"1","inx-3"
"cdk-1",3.03199873403349e-15,1.51865584934685,0.394,0.131,4.06591030233891e-11,"1","cdk-1"
"skr-1",3.23394274429502e-15,1.57194539456372,0.798,0.745,4.33671722009962e-11,"1","skr-1"
"Y71F9AL.7",4.16420663843053e-15,2.20335313035716,0.313,0.081,5.58420110213534e-11,"1","Y71F9AL.7"
"ubq-1",5.13802461517218e-15,1.59952487561683,0.778,0.684,6.8900910089459e-11,"1","ubq-1"
"hrpa-1",5.46313282749776e-15,1.90586235920112,0.737,0.71,7.3260611216745e-11,"1","hrpa-1"
"F13C5.2",5.91241747686679e-15,2.04543216692092,0.657,0.47,7.92855183647837e-11,"1","F13C5.2"
"his-25",8.22744188017096e-15,2.99175973110565,0.586,0.324,1.10329995613093e-10,"1","his-25"
"T28B8.1",1.43629478399268e-14,2.98914358829468,0.535,0.271,1.92607130533418e-10,"1","T28B8.1"
"C35E7.5",2.1129518705541e-14,1.6176850966779,0.525,0.23,2.83346845841305e-10,"1","C35E7.5"
"Y75B8A.18",2.11675450826443e-14,1.49743599356338,0.354,0.107,2.83856779558259e-10,"1","Y75B8A.18"
"his-11",2.61617087529482e-14,2.68389005529206,0.556,0.291,3.50828514377035e-10,"1","his-11"
"hrpr-1",2.67907668435324e-14,2.2020878602254,0.657,0.509,3.59264183371769e-10,"1","hrpr-1"
"his-3",4.58321189948143e-14,2.11300958782134,0.505,0.232,6.1460871572046e-10,"1","his-3"
"tag-196",1.68532431867148e-13,1.47712701326339,0.333,0.096,2.26001991133845e-09,"1","tag-196"
