"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"aqp-2",1.60399124366362e-144,1.101134847913,0.676,0.45,3.03330784089228e-140,"1","aqp-2"
"nlp-77",3.99964423036899e-97,1.61368311656601,0.453,0.279,7.5637272040508e-93,"1","nlp-77"
"col-74",4.74087555521605e-10,1.07882363044794,0.26,0.201,8.96546976246907e-06,"1","col-74"
"cest-17",0,1.87972039112936,0.253,0.042,0,"19","cest-17"
"F14B4.1",0,1.71941683406901,0.26,0.041,0,"19","F14B4.1"
"K10D3.4",2.62803314359096e-246,1.347846265484,0.252,0.066,4.96987347784487e-242,"19","K10D3.4"
"C14B9.2",3.84080128589934e-197,1.7069839149048,0.275,0.091,7.26333931176424e-193,"19","C14B9.2"
"T02E9.5",3.39556089019835e-178,1.91684762869938,0.462,0.233,6.42134519945409e-174,"19","T02E9.5"
"enpl-1",1.56742525280775e-142,1.58957014605868,0.481,0.263,2.96415789558474e-138,"19","enpl-1"
"lam-3",9.40886624457196e-141,1.32994183663396,0.297,0.12,1.779310695511e-136,"19","lam-3"
"F46E10.2",1.36381291118883e-190,1.05709061702812,0.357,0.122,2.57910659634919e-186,"21","F46E10.2"
"cyn-6",4.20380580571723e-180,1.29520693525897,0.322,0.11,7.94981715919185e-176,"21","cyn-6"
"clec-196",1.31606348531206e-148,1.39929231634307,0.36,0.145,2.48880765707364e-144,"21","clec-196"
"lam-31",2.31531138276448e-107,1.06596090025256,0.289,0.121,4.37848535594591e-103,"21","lam-3"
"ttr-50",7.85899051431741e-102,1.31895940797135,0.596,0.357,1.48621369616257e-97,"21","ttr-50"
"sym-1",7.77305539717624e-92,1.5513329849605,0.25,0.111,1.46996250616e-87,"21","sym-1"
"F53B3.5",4.80025932324756e-79,1.03167522500695,0.264,0.123,9.07777040619345e-75,"21","F53B3.5"
"noah-1",1.82169560906255e-67,1.23718771873313,0.313,0.168,3.44500856629819e-63,"21","noah-1"
"noah-2",1.12139377013699e-61,1.07767076097118,0.286,0.152,2.12066775870606e-57,"21","noah-2"
"txdc-12.1",3.04020674821266e-59,1.08234976378722,0.294,0.161,5.74933498154495e-55,"21","txdc-12.1"
"dao-2",1.59516289103238e-43,1.2513274325369,0.445,0.293,3.01661254323133e-39,"21","dao-2"
