"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","WBGeneID"
"1",6.86298472095109e-19,1.22358882036238,0.626,0.282,9.20326251079541e-15,"0","clec-83","WBGene00021879"
"2",5.17491527875457e-09,-1.02356289747001,0,0.268,6.93956138880988e-05,"1","clec-41","WBGene00007153"
"3",2.05053955090373e-13,-1.34467436716846,0.02,0.412,2.7497735377619e-09,"1","clec-72","WBGene00021583"
"4",1.94659208538495e-12,-1.7142083315273,0.01,0.367,2.61037998650122e-08,"1","clec-83","WBGene00021879"
"5",7.66223467619808e-11,-1.97322804652041,0.01,0.336,1.02750567007816e-06,"1","clec-50","WBGene00012253"
"6",3.49842763483842e-11,-2.02003576224459,0.02,0.358,4.69139145831832e-07,"1","clec-63","WBGene00009394"
"7",8.97762605284753e-16,-2.1918567417355,0.02,0.449,1.20389965368685e-11,"1","clec-66","WBGene00009397"
"8",1.34543898364607e-17,-2.67071474108214,0,0.47,1.80423367706938e-13,"1","clec-17","WBGene00008477"
"9",2.17447813971862e-09,-1.32595498260224,0.1,0.455,2.91597518536267e-05,"2","clec-17","WBGene00008477"
"10",5.63421769022644e-12,-1.62257747023938,0.044,0.443,7.55548592259366e-08,"2","clec-66","WBGene00009397"
"11",1.38455082006518e-08,-1.66261098170616,0.033,0.33,0.000185668264970741,"2","clec-50","WBGene00012253"
"12",4.84732104938896e-10,-1.7746423339233,0.022,0.355,6.50025752723059e-06,"2","clec-63","WBGene00009394"
"13",6.02201162918285e-46,2.31860080469207,0.977,0.367,8.0755175947342e-42,"3","clec-17","WBGene00008477"
"14",3.87461899917645e-48,2.00747630753733,1,0.347,5.19586407789561e-44,"3","clec-66","WBGene00009397"
"15",8.84298983887614e-34,1.6493326799425,0.886,0.269,1.18584493739329e-29,"3","clec-63","WBGene00009394"
"16",2.47705618277233e-63,1.6182557083062,0.932,0.173,3.3217323410977e-59,"3","clec-41","WBGene00007153"
"17",1.58941237623432e-27,1.34166595990975,0.409,0.06,2.13140199653022e-23,"3","clec-37","WBGene00013609"
"18",1.76194778999039e-44,1.31952675928238,0.693,0.127,2.36277198637712e-40,"3","clec-10","WBGene00015403"
"19",2.51969383119121e-35,1.170094598365,0.568,0.098,3.37890942762741e-31,"3","clec-174","WBGene00021580"
"20",1.86556364304745e-40,1.14866637980076,0.693,0.142,2.50172084532663e-36,"3","clec-4","WBGene00012583"
"21",2.23001396599941e-07,-3.35563971076155,0.045,0.297,0.0029904487284052,"3","clec-196","WBGene00009156"
"22",2.50927228395862e-11,-5.17432001970582,0.102,0.449,3.36493413278851e-07,"3","clec-266","WBGene00016088"
"23",2.05270405227504e-51,2.3405239765097,0.943,0.264,2.75267613410083e-47,"4","clec-63","WBGene00009394"
"24",3.04344823867936e-57,1.97688916028291,0.874,0.167,4.08126408806902e-53,"4","clec-265","WBGene00019738"
"25",2.33346841676465e-71,1.54172283788416,0.655,0.049,3.12918114688139e-67,"4","clec-56","WBGene00008595"
"26",4.53638594205695e-37,1.51902634881153,0.954,0.315,6.08329354829837e-33,"4","clec-72","WBGene00021583"
"27",3.83393384823639e-36,1.49674555595402,0.977,0.35,5.141305290485e-32,"4","clec-66","WBGene00009397"
"28",1.99339525633649e-16,1.2838092257446,0.701,0.264,2.67314303874724e-12,"4","clec-50","WBGene00012253"
"29",1.15514374511764e-76,1.19548105604225,0.793,0.083,1.54904776220275e-72,"4","clec-62","WBGene00009393"
"30",1.28248080760385e-33,1.12642957383193,0.609,0.118,1.71980676299676e-29,"4","clec-85","WBGene00021872"
"31",4.00269597170964e-45,1.11828817172159,0.793,0.167,5.36761529806263e-41,"4","clec-5","WBGene00016450"
"32",1.29356631503961e-59,1.09986582219765,0.77,0.105,1.73467242846811e-55,"4","clec-65","WBGene00009396"
"33",1.01192048681041e-34,1.96626660913296,0.976,0.366,1.35698537281276e-30,"5","clec-266","WBGene00016088"
"34",4.3066624918918e-10,-1.32240799082605,0.06,0.402,5.77523440162691e-06,"5","clec-72","WBGene00021583"
"35",6.49142943691145e-10,-2.13739753214116,0,0.331,8.70500687489825e-06,"5","clec-50","WBGene00012253"
"36",9.83041421920118e-14,-2.18277234283285,0.012,0.443,1.31825854679488e-09,"5","clec-66","WBGene00009397"
"37",9.84205301697293e-11,-2.2325294935164,0,0.355,1.31981930957607e-06,"5","clec-63","WBGene00009394"
"38",5.73850970925077e-14,-2.62548575347974,0.024,0.46,7.69534152010529e-10,"5","clec-17","WBGene00008477"
"39",1.41377324277824e-54,2.35117794485272,1,0.214,1.89586991856562e-50,"6","clec-196","WBGene00009156"
"40",5.3842791694164e-40,2.26048398419365,1,0.37,7.2203183661874e-36,"6","clec-266","WBGene00016088"
"41",7.75610338576737e-11,-1.39660271102972,0.013,0.402,1.0400934640314e-06,"6","clec-72","WBGene00021583"
"42",2.3002289958417e-07,-1.54602871584751,0.067,0.353,0.00308460708342372,"6","clec-83","WBGene00021879"
"43",6.30428689909446e-09,-2.12624370549241,0,0.328,8.45404873168567e-05,"6","clec-50","WBGene00012253"
