"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"dct-18",4.80660330673268e-40,1.31471308116181,0.978,0.723,6.44565503432852e-36,"0","dct-18"
"PDB1.1",9.84232611808087e-39,1.31301771672883,0.691,0.21,1.31985593243464e-34,"0","PDB1.1"
"R09H10.5",9.03318012552309e-37,1.4652611594926,0.885,0.34,1.21134945483265e-32,"0","R09H10.5"
"C12D12.1",1.57220418620023e-34,1.28829957463477,0.856,0.318,2.1083258136945e-30,"0","C12D12.1"
"C18A11.3",3.44372996228558e-34,1.29243547370497,0.712,0.225,4.61804187942496e-30,"0","C18A11.3"
"W02B12.1",4.47922493673882e-33,1.10171649910233,0.741,0.286,6.00664064016676e-29,"0","W02B12.1"
"ttr-41",5.62174902422994e-32,1.18899365389316,0.964,0.57,7.53876544149235e-28,"0","ttr-41"
"T04F3.4",1.62159148981793e-31,1.18047283582524,0.885,0.434,2.17455418784585e-27,"0","T04F3.4"
"Y71F9B.9",5.88236199032144e-31,1.32441128183734,0.806,0.477,7.88824742902106e-27,"0","Y71F9B.9"
"Y51H4A.24",5.97865480569895e-30,1.12658250434357,0.525,0.137,8.0173760944423e-26,"0","Y51H4A.24"
"F49E12.10",1.12491877618203e-29,1.05173105258196,0.662,0.223,1.5085160788601e-25,"0","F49E12.10"
"T04C12.1",7.45515297425708e-29,1.25094443287894,0.892,0.486,9.99736013847874e-25,"0","T04C12.1"
"irg-7",4.9117648828253e-27,1.24708666401885,0.871,0.403,6.58667670786872e-23,"0","irg-7"
"T19D12.1",5.40001456777221e-27,1.0743813553543,0.813,0.335,7.24141953538253e-23,"0","T19D12.1"
"T16G12.1",1.15944903588396e-26,1.18016121916858,0.741,0.294,1.55482115712039e-22,"0","T16G12.1"
"F48D6.4",3.65466200453383e-25,1.16769107903453,0.906,0.697,4.90090174807987e-21,"0","F48D6.4"
"Y34B4A.6",6.13473941780168e-25,1.08965973161737,0.942,0.509,8.22668555927206e-21,"0","Y34B4A.6"
"F19B2.5",2.12051696798585e-24,1.46886113576265,0.835,0.414,2.84361325406903e-20,"0","F19B2.5"
"F19C7.1",1.42384049595809e-23,1.19301817082488,0.878,0.389,1.9093701050798e-19,"0","F19C7.1"
"aqp-4",7.55231114233886e-23,1.26994661261533,0.827,0.441,1.01276492418764e-18,"0","aqp-4"
"F08G2.5",2.96024512535997e-22,1.32569684690319,0.741,0.352,3.96968871310772e-18,"0","F08G2.5"
