"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PDB1.1",4.2290736128448e-28,1.0203205709057,0.76,0.26,5.67118771482488e-24,"0","PDB1.1"
"T04F3.4",4.72115585229048e-27,1.08279714581711,0.942,0.509,6.33106999792153e-23,"0","T04F3.4"
"Y71F9B.9",1.73373140158949e-26,1.29038373234304,0.865,0.574,2.3249338095315e-22,"0","Y71F9B.9"
"T16G12.1",2.45801703224426e-25,1.06294866903124,0.875,0.365,3.29620084023955e-21,"0","T16G12.1"
"VF13D12L.3",2.88601789369117e-22,1.42971350937405,0.856,0.512,3.87014999543986e-18,"0","VF13D12L.3"
"F08G2.5",4.24816689259429e-21,1.10253932532095,0.846,0.407,5.69679180296895e-17,"0","F08G2.5"
"F19B2.5",1.68171763080675e-20,1.44485081583067,0.923,0.498,2.25518334291185e-16,"0","F19B2.5"
"aqp-4",1.69741930599072e-20,1.09386473313032,0.923,0.522,2.27623928933356e-16,"0","aqp-4"
"pes-9",3.85891401358794e-20,1.12342436814448,0.856,0.43,5.17480369222142e-16,"0","pes-9"
"zip-10",4.20284498103798e-20,1.19203716067996,0.837,0.384,5.63601511957193e-16,"0","zip-10"
"K09D9.1",8.56662794888831e-20,1.17554915629703,0.817,0.384,1.14878480794592e-15,"0","K09D9.1"
"F48D6.4",8.16343536245583e-19,1.01630015805955,0.933,0.812,1.09471668210533e-14,"0","F48D6.4"
"K10G6.5",6.21757593697673e-17,1.28182237212956,0.615,0.229,8.3377693314858e-13,"0","K10G6.5"
"Y94H6A.10",6.47631300768126e-14,1.08929870835113,0.76,0.411,8.68473574330056e-10,"0","Y94H6A.10"
"ZC204.12",7.23640474700916e-12,-2.2932252378504,0.173,0.494,9.70401876573928e-08,"0","ZC204.12"
"C06B3.6",1.14681315932034e-11,1.02080884168338,0.654,0.345,1.53787644664857e-07,"0","C06B3.6"
"ctsa-4.2",3.02564671640437e-10,-1.73331797092105,0.058,0.362,4.05739224669826e-06,"0","ctsa-4.2"
"fbxc-51",1.47818609135342e-08,-1.15956244625693,0.029,0.283,0.000198224754850493,"0","fbxc-51"
"mig-6",4.30691812236465e-08,-2.08154065068476,0.106,0.354,0.0005775577202091,"0","mig-6"
"inx-3",4.35897767832982e-08,-1.38714043967538,0.038,0.281,0.000584538906664028,"0","inx-3"
"C31C9.2",4.79120055512366e-08,-1.33581395448291,0.077,0.328,0.000642499994442083,"0","C31C9.2"
"Y32F6A.5",4.95590056599277e-08,-2.43693640761302,0.019,0.258,0.000664586265899631,"0","Y32F6A.5"
"sams-5",5.45849263661086e-08,-1.51315613452097,0.058,0.3,0.000731983862569516,"0","sams-5"
"ugt-53",8.72815812387238e-08,-1.24717588597819,0.019,0.251,0.00117044600441129,"0","ugt-53"
"C07D10.5",1.71469385233761e-07,-1.01449716212475,0.029,0.255,0.00229940445598473,"0","C07D10.5"
"his-11",1.87880030160197e-07,-2.10019942811258,0.096,0.332,0.00251947120444824,"0","his-11"
"gana-1",2.1966889877929e-07,-1.00009468169747,0.221,0.459,0.00294575993263027,"0","gana-1"
"his-60",2.60189483616314e-07,-1.55427464311941,0.048,0.276,0.00348914097529478,"0","his-60"
"inx-2",2.6194248991746e-07,-1.26579667943648,0.058,0.286,0.00351264878979314,"0","inx-2"
"clec-196",4.10433608499867e-07,-3.52203136102604,0.115,0.332,0.00550391468998321,"0","clec-196"
"C35E7.5",6.43535956095418e-07,-1.12819899646372,0.048,0.266,0.00862981717123955,"0","C35E7.5"
"his-59",8.28277807797387e-07,-1.2197095219891,0.048,0.263,0.011107205402563,"0","his-59"
"igcm-3",9.75962856366199e-07,-1.36041859966542,0.087,0.296,0.0130876619038707,"0","igcm-3"
"cht-1",1.37912237418824e-06,-2.00163304444669,0.087,0.303,0.0184940310378643,"0","cht-1"
"ctsa-1.2",1.95126632494867e-06,-2.77595432407498,0.144,0.346,0.0261664814175616,"0","ctsa-1.2"
"his-1",2.34382322696267e-06,-1.44421814364108,0.058,0.257,0.0314306694735694,"0","his-1"
"ceh-37",2.37511876850417e-06,-1.22013197836999,0.144,0.356,0.0318503426856409,"0","ceh-37"
"dod-17",2.64129846542244e-06,-1.43428118456181,0.077,0.284,0.0354198124213149,"0","dod-17"
"pqn-52",3.29460457203831e-06,-1.74311700363113,0.212,0.395,0.0441806473110338,"0","pqn-52"
"acs-14",3.48504167757076e-06,-1.07182256424667,0.269,0.439,0.0467344088962239,"0","acs-14"
"T26C12.1",3.51055523483723e-06,-1.18454823879332,0.327,0.494,0.0470765456991673,"0","T26C12.1"
"dao-2",4.08249569213723e-06,-3.41656297631314,0.154,0.342,0.0547462672315603,"0","dao-2"
"his-64",4.3012455243392e-06,-2.21258819349662,0.106,0.3,0.0576797024813886,"0","his-64"
"atz-1",9.27788200525189e-06,-1.44556197208959,0.125,0.307,0.124416397690428,"0","atz-1"
"dod-19",9.99991610251166e-06,-2.16733488854116,0.288,0.433,0.134098874934681,"0","dod-19"
"ttr-52",1.22731925923905e-05,-1.09985917269234,0.125,0.304,0.164583512663956,"0","ttr-52"
"dig-1",2.40708415618968e-05,-1.32313958557996,0.106,0.278,0.322789985345036,"0","dig-1"
"rnst-2",2.73333167795739e-05,-1.4194258860049,0.144,0.312,0.366539778014086,"0","rnst-2"
"ZK899.2",2.93417093108913e-05,-1.34255829746682,0.298,0.449,0.393472321859053,"0","ZK899.2"
"apy-1",3.37804604151602e-05,-1.18609000130877,0.683,0.68,0.452995974167298,"0","apy-1"
"gba-3",4.18718301586534e-05,-1.350524449036,0.115,0.281,0.561501242427542,"0","gba-3"
"C06A8.8",4.60247684693677e-05,-1.00823801385676,0.106,0.276,0.61719214517422,"0","C06A8.8"
"nlp-77",4.78986841696749e-05,-3.17734390969152,0.154,0.322,0.64232135471534,"0","nlp-77"
"his-25",0.000132473914750015,-1.8367313734136,0.202,0.359,1,"0","his-25"
"epi-1",0.000150816019179231,-1.67805775915996,0.183,0.329,1,"0","epi-1"
"C33G3.4",0.000190154003103225,-2.10927824240771,0.24,0.358,1,"0","C33G3.4"
"his-3",0.000194676193981306,-1.22394906538195,0.115,0.263,1,"0","his-3"
"C17E4.20",0.000258759941135591,-1.05949320735751,0.154,0.291,1,"0","C17E4.20"
"T19B10.2",0.000295574392136207,-2.37596951047064,0.269,0.382,1,"0","T19B10.2"
"rmd-2",0.000332344860954865,-1.70329285036984,0.683,0.659,1,"0","rmd-2"
"ftn-2",0.000374136526347737,-1.93820780847619,0.712,0.674,1,"0","ftn-2"
"his-18",0.00050378171763686,-1.81185052423736,0.154,0.283,1,"0","his-18"
"lam-2",0.000558585149317419,-1.186222294637,0.192,0.32,1,"0","lam-2"
"ncam-1",0.000662974840284709,-1.2536353712716,0.135,0.264,1,"0","ncam-1"
"F52A8.1",0.000850147462527871,-1.06755365396519,0.404,0.495,1,"0","F52A8.1"
"lbp-1",0.000961427054000776,-2.61507334744414,0.231,0.336,1,"0","lbp-1"
"his-5",0.0011800333349519,-1.77683041764532,0.192,0.306,1,"0","his-5"
"Y43C5A.2",0.00145459662423545,-1.37957967045573,0.385,0.455,1,"0","Y43C5A.2"
"ifc-2",0.00198434183808936,-1.18471933721787,0.202,0.315,1,"0","ifc-2"
"cpz-1",0.00207681682647796,-2.41321422562019,0.433,0.479,1,"0","cpz-1"
"lam-1",0.00329405427777146,-1.37675766234674,0.279,0.361,1,"0","lam-1"
"T24B8.3",0.0040364387065613,-1.17456665707019,0.567,0.582,1,"0","T24B8.3"
"clec-266",0.00680804506775074,-3.38552301463092,0.423,0.44,1,"0","clec-266"
"R11A5.3",0.00924486732678098,-1.79541121167751,0.26,0.351,1,"0","R11A5.3"
"pcp-3",0.0098388374773991,-1.20189283448652,0.433,0.46,1,"0","pcp-3"
"srw-86",2.03697669796747e-96,2.24118541672628,0.765,0.033,2.73158575197438e-92,"1","srw-86"
