"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"cav-1",3.30525180171124e-11,1.88254966424652,0.774,0.375,3.23914676567701e-07,"0","cav-1"
"his-24",1.86461917185428e-08,1.19694798769701,0.887,0.536,0.000182732678841719,"0","his-24"
"hmg-1.1",2.47107449374914e-06,1.2485680494337,0.839,0.726,0.0242165300387416,"0","hmg-1.1"
"hil-2",6.68288987910176e-05,0.569536954752828,0.774,0.488,0.654923208151973,"0","hil-2"
"pygl-1",0.000232167047447132,0.329174947673885,0.032,0.262,1,"0","pygl-1"
"rpb-4",0.000255407563504684,0.281286370717163,0.081,0.357,1,"0","rpb-4"
"sup-26",0.000285863681060319,1.24022520784603,0.645,0.524,1,"0","sup-26"
"B0272.3",0.000298614331607673,0.407506219597816,0.032,0.256,1,"0","B0272.3"
"rer-1",0.000482224349407287,0.623970475709111,0.081,0.339,1,"0","rer-1"
"rbx-1",0.000535512316074366,0.264770707884039,0.097,0.369,1,"0","rbx-1"
"F30A10.9",0.000579874080477507,0.314759482879932,0.065,0.304,1,"0","F30A10.9"
"C49H3.3",0.000605610708219069,0.361901707671297,0.113,0.381,1,"0","C49H3.3"
"C16A3.6",0.000696680986376618,0.299018754020762,0.113,0.381,1,"0","C16A3.6"
"ribo-1",0.000749358597763081,0.534142749485246,0.145,0.44,1,"0","ribo-1"
"cwc-15",0.000785386054839954,0.504955316373822,0.081,0.327,1,"0","cwc-15"
"dlst-1",0.000793408204617418,0.486228216151788,0.097,0.357,1,"0","dlst-1"
"Y41D4A.4",0.000958318297432356,0.399483538079543,0.097,0.351,1,"0","Y41D4A.4"
"erh-1",0.000962819837042996,0.301595743013809,0.081,0.315,1,"0","erh-1"
"C08F1.10",0.00104031598998215,1.85849059728612,0.435,0.28,1,"0","C08F1.10"
"mpc-1",0.0011105397225673,0.319566269600514,0.065,0.286,1,"0","mpc-1"
"let-721",0.00117872274290407,0.285733271420481,0.097,0.345,1,"0","let-721"
"dnj-13",0.00130229481846176,0.264181778575401,0.129,0.405,1,"0","dnj-13"
"vps-32.1",0.00130455743272255,0.410520068826349,0.145,0.44,1,"0","vps-32.1"
"dohh-1",0.00139758856171355,0.462420308140009,0.113,0.363,1,"0","dohh-1"
"manf-1",0.00156645140713082,0.561636058516865,0.129,0.405,1,"0","manf-1"
"serp-1.2",0.00189792131697461,0.442953084542833,0.065,0.274,1,"0","serp-1.2"
"cisd-3.2",0.00203992934353414,0.383236464275492,0.081,0.304,1,"0","cisd-3.2"
"Y63D3A.7",0.00225441217413966,0.300220844223617,0.097,0.333,1,"0","Y63D3A.7"
"mrck-1",0.00243010527347633,0.526242629391362,0.097,0.327,1,"0","mrck-1"
"Y43F8C.7",0.00244278702999181,0.258907732110716,0.129,0.393,1,"0","Y43F8C.7"
"C06A5.3",0.00245335300560689,0.595503399108509,0.097,0.327,1,"0","C06A5.3"
