"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PDB1.1",2.76527043558671e-23,3.06256637515481,0.73,0.337,3.77016971187892e-19
"M28.8",4.4949819698931e-23,2.43563363956729,0.82,0.452,6.12845841775225e-19
"slc-36.2",3.23869440312477e-21,-2.14989536245237,0.09,0.691,4.41563594922032e-17
"acbp-1",4.1189457031285e-19,-2.23274953696279,0.562,0.873,5.6157705716454e-15
"ZK185.5",1.67423153951736e-18,-5.117323621187,0.034,0.557,2.28264728097797e-14
"F26A10.2",2.06870424073158e-18,2.12885745631404,0.697,0.321,2.82047136181343e-14
"clec-82",1.39415528386047e-17,6.28684505012128,0.169,0.007,1.90079131401537e-13
"C12D12.1",4.7447689745763e-17,1.85990604205692,0.865,0.496,6.46901801993733e-13
"Y56A3A.7",5.35468255382003e-17,1.32432321852719,0.865,0.768,7.30057419387823e-13
"ZC196.4",9.14873879794853e-17,3.64560713183453,0.303,0.049,1.2473390477123e-12
"dyf-19",1.24729450735706e-16,3.21760227381509,0.315,0.052,1.70056133133061e-12
"acdh-1",1.37835552956518e-16,-1.26825122731529,0.944,0.99,1.87924992900917e-12
"gcst-1",2.76596199888245e-16,-1.73584986814028,0.416,0.782,3.77111258927634e-12
"rmd-2",5.14140142378585e-16,-3.00249756773257,0.494,0.815,7.00978670118963e-12
"dct-18",5.17741732700609e-16,0.874079746583943,0.955,0.956,7.0588907836401e-12
"samt-1",9.82268837408789e-16,2.67253184852415,0.562,0.225,1.33922533292314e-11
"acp-5",1.37163778086837e-15,-0.439964786494077,0.281,0.764,1.87009095043593e-11
"ttr-41",2.09539982618014e-15,1.12291715925418,0.933,0.785,2.856868123014e-11
"sma-1",2.77987541264702e-15,1.51101232332,0.854,0.778,3.79008213760295e-11
"Y51H4A.24",5.7751934554849e-15,2.67151269519077,0.584,0.244,7.87389875720811e-11
"pud-1.2",8.31210022296883e-15,3.44002485888004,0.292,0.051,1.13327174439957e-10
"C39B5.10",8.72964567394976e-15,2.5098833092965,0.36,0.08,1.19019989118631e-10
"pfut-1",1.23744721793434e-14,1.81446850215294,0.798,0.663,1.68713553693167e-10
"ttr-45",1.33163642673179e-14,2.94761200270634,0.404,0.112,1.81555310420612e-10
"gei-13",1.99652595594073e-14,2.0204566259305,0.708,0.422,2.72206348832959e-10
"acds-10",2.0711547348466e-14,-1.89671626764795,0.416,0.77,2.82381236548985e-10
"F53H8.3",2.39613522642393e-14,-3.25691632497171,0.067,0.531,3.26689076770638e-10
