"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PDB1.1",4.50918203544297e-26,2.72796458739444,0.736,0.309,6.14781878712295e-22,"0","PDB1.1"
"C18A11.3",3.61861220996723e-25,1.85151224730689,0.776,0.305,4.93361588706932e-21,"0","C18A11.3"
"C12D12.1",2.78428276241426e-24,1.65515336094069,0.92,0.458,3.7960911182756e-20,"0","C12D12.1"
"ttr-41",2.86780997709465e-23,1.11988572169329,0.944,0.773,3.90997212277085e-19,"0","ttr-41"
"slc-36.2",4.61823976726729e-23,-2.04692675518724,0.216,0.702,6.29650809869223e-19,"0","slc-36.2"
"T04C12.1",1.88925931661352e-22,1.29792798247908,0.896,0.676,2.57581615227087e-18,"0","T04C12.1"
"T04F3.4",5.48423648628276e-22,1.39261240731384,0.88,0.613,7.47720802539792e-18,"0","T04F3.4"
"R09H10.5",1.03746305202477e-21,1.42756425561423,0.904,0.493,1.41447712513057e-17,"0","R09H10.5"
"mct-6",4.33959969804221e-21,-2.56305806741951,0.208,0.674,5.91661022831075e-17,"0","mct-6"
"Y51H4A.24",1.98336166907986e-20,2.63977337290317,0.6,0.218,2.70411529962348e-16,"0","Y51H4A.24"
"ZC204.12",3.73392451973066e-20,-4.00990431654165,0.168,0.609,5.09083269020079e-16,"0","ZC204.12"
"W02B12.1",4.30330825684931e-19,1.78263838309102,0.744,0.426,5.86713047738835e-15,"0","W02B12.1"
"ZK185.5",5.83691148365373e-19,-2.85755392409268,0.144,0.566,7.95804511681349e-15,"0","ZK185.5"
"pals-34",7.12333052951183e-19,2.34501358934,0.504,0.162,9.71194884393643e-15,"0","pals-34"
"F31F4.1",1.17814224694778e-18,2.04660608336413,0.696,0.33,1.6062791394886e-14,"0","F31F4.1"
"lips-11",1.37043878889603e-18,2.40748011989101,0.36,0.071,1.86845624478085e-14,"0","lips-11"
"irg-7",1.67986124295362e-18,1.22043702258882,0.912,0.57,2.29032281864296e-14,"0","irg-7"
"rmd-2",2.37695858224658e-18,-2.87488569504373,0.568,0.819,3.24074533103498e-14,"0","rmd-2"
"F53H8.3",6.02940992426402e-18,-3.16536981666753,0.12,0.549,8.22049749074156e-14,"0","F53H8.3"
"nspg-9",6.53674071696738e-18,1.16948903296727,0.928,0.68,8.91219229351333e-14,"0","nspg-9"
"T19D12.1",8.2479927005465e-18,1.04288638214946,0.88,0.467,1.12453132479251e-13,"0","T19D12.1"
"acds-10",9.16382163445522e-18,-1.7471737265549,0.48,0.778,1.24939544164163e-13,"0","acds-10"
"nspg-14",1.63766864163889e-17,1.03264874316891,0.952,0.711,2.23279742601046e-13,"0","nspg-14"
"ppat-1",2.22054723738456e-17,3.07424591169965,0.352,0.074,3.02749410345011e-13,"0","ppat-1"
"ifd-2",2.66364770826037e-17,1.23601344561398,0.912,0.702,3.63161728544219e-13,"0","ifd-2"
"T26H5.8",4.41488247246569e-17,1.94786204169422,0.576,0.22,6.01925076295972e-13,"0","T26H5.8"
"gana-1",4.65532430500817e-17,-2.61171213780099,0.16,0.579,6.34706915744814e-13,"0","gana-1"
"ZC196.5",5.4083346796172e-17,2.02194434099823,0.624,0.283,7.37372350219009e-13,"0","ZC196.5"
"pdi-2",9.79382062770085e-17,-1.19725474067261,0.832,0.968,1.33528950438073e-12,"0","pdi-2"
"acdh-1",1.53453303503789e-16,-1.11552584756693,0.96,0.989,2.09218233997066e-12,"0","acdh-1"
"aqp-4",1.598283081735e-16,1.18037490844512,0.864,0.603,2.1790991536375e-12,"0","aqp-4"
"acs-14",1.83398247874071e-16,-3.16306665360132,0.184,0.557,2.50045171151508e-12,"0","acs-14"
"T05C3.6",2.40104763753689e-16,1.18893536133618,0.76,0.412,3.2735883490178e-12,"0","T05C3.6"
"apy-1",3.19502589191327e-16,-1.80239443358785,0.616,0.844,4.35609830103456e-12,"0","apy-1"
"gta-1",4.0065773699638e-16,-1.88949222134686,0.16,0.562,5.46256758620865e-12,"0","gta-1"
"ftn-2",4.56743795810404e-16,-2.89532727087688,0.592,0.803,6.22724491207905e-12,"0","ftn-2"
