"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","WBGeneID"
"1",1.0007864872034e-13,2.14715671145065,0.413,0.148,1.36447229665311e-09,"0","clec-85","WBGene00021872"
"2",1.45861612667821e-19,1.81891345029394,0.683,0.314,1.98867722711307e-15,"0","clec-83","WBGene00021879"
"3",1.01958611639526e-11,1.67705874139927,0.405,0.15,1.3901037110933e-07,"0","clec-170","WBGene00009515"
"4",4.42731002448311e-07,1.29281218789528,0.341,0.161,0.00603619448738027,"0","clec-150","WBGene00019914"
"5",3.35274257033767e-08,-6.91599650562754,0.143,0.356,0.000457112922039838,"0","clec-196","WBGene00009156"
"6",1.01246760977361e-33,1.73723900603973,0.98,0.373,1.38039833916533e-29,"1","clec-266","WBGene00016088"
"7",4.07495037447322e-07,-1.69697157708229,0.02,0.25,0.00555578734055679,"1","clec-53","WBGene00020191"
"8",6.69437559857537e-12,-3.79814248817104,0.102,0.45,9.12711169109766e-08,"1","clec-72","WBGene00021583"
"9",4.61692937871191e-08,-4.62643153364366,0.041,0.296,0.000629472151493582,"1","clec-41","WBGene00007153"
"10",2.24218592294758e-08,-4.68237593319235,0.02,0.285,0.000305699628734673,"1","clec-265","WBGene00019738"
"11",3.68579385980351e-09,-5.7364477723817,0,0.276,5.0252113484561e-05,"1","clec-5","WBGene00016450"
"12",7.2357975246325e-11,-6.0593829075167,0.031,0.358,9.86528634508394e-07,"1","clec-50","WBGene00012253"
"13",1.58362015623058e-16,-7.36950975230312,0.031,0.479,2.15910772100478e-12,"1","clec-17","WBGene00008477"
"14",7.3810312012954e-13,-7.42809737517915,0.01,0.383,1.00632979398461e-08,"1","clec-63","WBGene00009394"
"15",3.84691631336917e-18,-7.68296334683629,0.02,0.501,5.24488570164752e-14,"1","clec-66","WBGene00009397"
"16",1.73610500572929e-56,5.94781689230522,0.436,0.018,2.36700556481131e-52,"2","clec-166","WBGene00009518"
"17",3.03312627496135e-53,5.61504210972284,0.404,0.015,4.1353643632823e-49,"2","clec-42","WBGene00008891"
"18",1.03547778084184e-22,4.54504229540004,0.277,0.031,1.41177040639977e-18,"2","clec-80","WBGene00043062"
"19",7.23410959320223e-26,4.02915487716935,0.33,0.039,9.86298501937191e-22,"2","clec-36","WBGene00044332"
"20",5.06909995387698e-32,3.75915989997282,0.372,0.037,6.91121087711587e-28,"2","clec-26","WBGene00011852"
"21",3.41873315283085e-43,3.33112125719862,0.681,0.131,4.66110078056959e-39,"2","clec-10","WBGene00015403"
"22",2.42658856804585e-25,3.21963572984451,0.34,0.042,3.30841085367372e-21,"2","clec-28","WBGene00009857"
"23",1.33673093888126e-53,3.20727969968703,0.979,0.362,1.82249896207071e-49,"2","clec-17","WBGene00008477"
"24",3.7165676709046e-26,3.20352218616465,0.383,0.055,5.06716836251134e-22,"2","clec-37","WBGene00013609"
"25",1.31309785455932e-32,3.13993024459025,0.564,0.107,1.79027761490617e-28,"2","clec-174","WBGene00021580"
"26",2.69519323790224e-07,-1.25356444041757,0.091,0.398,0.00367462646055591,"3","clec-83","WBGene00021879"
"27",2.53916231585352e-11,-1.85026066672068,0.057,0.451,3.46189390143469e-07,"3","clec-72","WBGene00021583"
"28",2.49728416343628e-08,-2.74305544480682,0.045,0.352,0.000340479722842902,"3","clec-50","WBGene00012253"
"29",2.28772740079834e-07,-2.85997799216057,0.023,0.281,0.00311908753824845,"3","clec-265","WBGene00019738"
"30",3.56943901373476e-07,-3.38962794309872,0.08,0.352,0.00486657315132598,"3","clec-196","WBGene00009156"
"31",9.15762244953878e-15,-3.66400601010121,0.034,0.493,1.24855024477012e-10,"3","clec-66","WBGene00009397"
"32",1.14272284824017e-13,-3.94005098696725,0.034,0.473,1.55798833129065e-09,"3","clec-17","WBGene00008477"
"33",1.31842757268048e-10,-4.19000057916846,0.023,0.377,1.79754415259257e-06,"3","clec-63","WBGene00009394"
"34",1.00923845764127e-07,-4.8350377359203,0.011,0.271,0.00137599571314811,"3","clec-5","WBGene00016450"
"35",4.09240466275698e-09,-6.48905728338931,0,0.298,5.57958451720286e-05,"3","clec-41","WBGene00007153"
"36",1.96828584026334e-47,4.82296463402279,0.442,0.028,2.68356091461504e-43,"4","clec-227","WBGene00008593"
"37",4.21752550664004e-31,4.61561289750064,0.291,0.018,5.75017427575303e-27,"4","clec-54","WBGene00008596"
"38",6.00033607721782e-62,4.33428963321634,0.64,0.054,8.18085820767877e-58,"4","clec-56","WBGene00008595"
"39",5.94692985551861e-62,3.7999343658839,0.767,0.098,8.10804416501408e-58,"4","clec-62","WBGene00009393"
"40",1.8737983935754e-47,3.23181208721773,0.849,0.19,2.5547367298007e-43,"4","clec-265","WBGene00019738"
"41",4.42561828538019e-45,2.94868431606368,0.733,0.126,6.03388797028735e-41,"4","clec-65","WBGene00009396"
"42",3.27338357090505e-44,2.86876585208007,0.895,0.28,4.46293116057195e-40,"4","clec-63","WBGene00009394"
"43",5.5384162129058e-31,2.84542333639844,0.57,0.107,7.55107666467577e-27,"4","clec-52","WBGene00015052"
"44",9.5649414654517e-38,2.71336502646028,0.767,0.187,1.30408411939969e-33,"4","clec-5","WBGene00016450"
"45",1.11819178641572e-27,2.65378163697093,0.605,0.14,1.52454268159919e-23,"4","clec-85","WBGene00021872"
"46",1.48147559648957e-20,2.98754715599925,0.341,0.053,2.01984382825388e-16,"5","clec-210","WBGene00022261"
"47",1.1494818094862e-52,2.46271690067421,1,0.255,1.56720349905348e-48,"5","clec-196","WBGene00009156"
"48",4.00513821644416e-42,2.29345536458454,1,0.383,5.46060544429996e-38,"5","clec-266","WBGene00016088"
"49",3.06108347327282e-09,-4.38797888656235,0.073,0.398,4.17348120746016e-05,"5","clec-83","WBGene00021879"
"50",6.0979900419444e-08,-5.01629489403266,0.012,0.294,0.0008313999623187,"5","clec-41","WBGene00007153"
"51",9.30520100673774e-08,-5.44973304679597,0,0.27,0.00126867110525862,"5","clec-5","WBGene00016450"
"52",1.23067332278103e-13,-5.91643155790999,0.012,0.452,1.67790000827966e-09,"5","clec-72","WBGene00021583"
"53",4.20582966990247e-08,-6.23925379495634,0,0.281,0.000573422817194503,"5","clec-265","WBGene00019738"
"54",8.65262522646663e-10,-6.58011585112079,0.037,0.373,1.17969892337646e-05,"5","clec-63","WBGene00009394"
"55",5.19176893230614e-14,-7.19725174655241,0.024,0.47,7.0784577623062e-10,"5","clec-17","WBGene00008477"
"56",1.81759056596816e-39,2.7628659667586,0.676,0.112,2.47810297764099e-35,"6","clec-48","WBGene00007565"
"57",2.12781701347564e-33,2.05813091396216,0.905,0.267,2.90106571617269e-29,"6","clec-50","WBGene00012253"
"58",8.6129267975303e-21,1.84409627548092,0.5,0.11,1.17428643957528e-16,"6","clec-84","WBGene00021895"
"59",1.1950932861595e-33,1.70739355678232,0.959,0.312,1.62939018634986e-29,"6","clec-83","WBGene00021879"
"60",2.7762296462048e-11,1.35990284096592,0.581,0.225,3.78511149963562e-07,"6","clec-265","WBGene00019738"
"61",5.7517731033914e-07,1.30347696151058,0.351,0.134,0.00784196744916383,"6","clec-52","WBGene00015052"
"62",3.6701366174492e-08,-4.49869868453261,0.095,0.405,0.000500386426423023,"6","clec-140","WBGene00020220"
"63",1.58245707644127e-10,-9.10649603388416,0.108,0.472,2.15752197802003e-06,"6","clec-266","WBGene00016088"
"64",6.37615093858964e-33,4.34968581006457,0.303,0.015,8.69324418967311e-29,"7","clec-33","WBGene00009859"
"65",7.98130194638331e-39,3.83330759381,0.424,0.03,1.0881707073699e-34,"7","clec-167","WBGene00009517"
"66",1.00331798585164e-24,3.7240415491224,0.303,0.026,1.36792374191013e-20,"7","clec-25","WBGene00044331"
"67",1.48385906876835e-20,3.0863442484755,0.409,0.067,2.02309345435877e-16,"7","clec-160","WBGene00017322"
"68",7.60612156666912e-19,2.97376019201695,0.273,0.03,1.03701861439967e-14,"7","clec-24","WBGene00009856"
"69",2.16081452068005e-27,2.83670004912546,0.409,0.046,2.94605451749518e-23,"7","clec-26","WBGene00011852"
"70",4.05668221377949e-34,2.82853648657279,0.455,0.043,5.53088053026696e-30,"7","clec-28","WBGene00009857"
"71",1.16573038018821e-28,2.64495241903592,0.47,0.06,1.58935680034861e-24,"7","clec-37","WBGene00013609"
"72",6.24542545292264e-22,2.54872476750704,0.303,0.03,8.51501306251472e-18,"7","clec-34","WBGene00012023"
"73",2.36358146851578e-24,2.38824577915672,0.379,0.045,3.22250697417442e-20,"7","clec-36","WBGene00044332"
"74",7.98406775801284e-27,4.27544591822374,0.875,0.35,1.08854779812747e-22,"8","clec-140","WBGene00020220"
"75",1.31020130329851e-08,-6.35282869628354,0,0.435,0.000178632845691718,"8","clec-72","WBGene00021583"
"76",1.5642309677899e-07,-6.75727054659354,0,0.389,0.00213267250148475,"8","clec-83","WBGene00021879"
"77",3.96255301212827e-09,-6.91507844071933,0.021,0.471,5.40254477673569e-05,"8","clec-66","WBGene00009397"
"78",6.38347801169037e-07,-7.37961292195676,0,0.361,0.00870323392113865,"8","clec-63","WBGene00009394"
"79",4.6510189711886e-09,-7.70537054426252,0,0.453,6.34119926531853e-05,"8","clec-17","WBGene00008477"
"80",8.41151683780406e-32,3.89545423475559,1,0.296,1.14682620566621e-27,"9","clec-196","WBGene00009156"
"81",1.33687696447974e-21,2.39080520430788,1,0.417,1.82269805337168e-17,"9","clec-266","WBGene00016088"
"82",4.24282920094052e-08,1.22552732934225,0.333,0.069,0.000578467333256231,"9","clec-210","WBGene00022261"
"83",2.0125896634586e-07,-7.01131123733334,0,0.466,0.00274396474715945,"9","clec-66","WBGene00009397"
"84",4.71580160844622e-07,-7.26944927804388,0,0.447,0.00642952391295558,"9","clec-17","WBGene00008477"
"85",9.51428940586894e-31,3.89039897146187,0.483,0.031,1.29717821759617e-26,"10","clec-78","WBGene00018547"
"86",2.99459700995186e-47,4.36042325227058,0.682,0.029,4.08283356336837e-43,"11","cle-1","WBGene00000527"
"87",9.86105543247473e-20,3.38292537429802,0.318,0.016,1.3444562976636e-15,"11","clec-233","WBGene00009030"
