"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C10A4.3",5.54009110860175e-106,3.70838863194687,0.91,0.09,7.55336021746763e-102,"0","C10A4.3"
"T19D7.6",4.94682456619714e-104,4.44560092914101,0.843,0.072,6.74450061355317e-100,"0","T19D7.6"
"ces-2",6.24719512587522e-82,1.48746834606542,0.858,0.098,8.51742583461827e-78,"0","ces-2"
"cht-4",2.10777775583688e-77,2.73113796269979,0.896,0.14,2.873744192308e-73,"0","cht-4"
"dao-2",8.8294769373549e-77,2.47329088545166,0.97,0.166,1.20381088563897e-72,"0","dao-2"
"cpz-1",1.18963775174756e-75,3.11040859519835,1,0.335,1.62195211073263e-71,"0","cpz-1"
"ttr-52",2.2131097837971e-75,2.54302170574614,0.933,0.155,3.01735387922897e-71,"0","ttr-52"
"sams-5",4.8851452483928e-75,2.47786331514317,0.91,0.136,6.66040703165874e-71,"0","sams-5"
"ttr-50",9.87174438468544e-74,3.35335547252864,1,0.44,1.34591362940801e-69,"0","ttr-50"
"cpl-1",2.51033939382066e-71,2.91550410607011,0.993,0.437,3.42259672953509e-67,"0","cpl-1"
"T12G3.4",5.94817867787275e-71,1.82115465423003,0.94,0.216,8.10974680941171e-67,"0","T12G3.4"
"ppt-1",2.86125702311714e-70,2.49350824672395,0.985,0.213,3.9010378253179e-66,"0","ppt-1"
"rnst-2",7.71805834575011e-70,2.30611161419237,0.963,0.172,1.05228007485957e-65,"0","rnst-2"
"klo-1",8.18228711163908e-69,2.94609230916279,0.888,0.205,1.11557302480087e-64,"0","klo-1"
"mig-6",5.71043634589079e-67,2.00532658569939,0.978,0.224,7.7856089139875e-63,"0","mig-6"
"C14H10.2",8.89855630629482e-67,2.9810902176647,0.776,0.125,1.21322916680024e-62,"0","C14H10.2"
"C33G3.4",2.33400909583864e-66,2.20267776314816,0.978,0.212,3.1821880012664e-62,"0","C33G3.4"
"T19B10.2",1.70751135667578e-65,2.11159286674715,0.97,0.231,2.32802098369176e-61,"0","T19B10.2"
"ent-2",2.0309083062913e-64,2.44106202016004,0.978,0.278,2.76894038479755e-60,"0","ent-2"
"T16G12.13",5.2469631752077e-64,2.62552806329983,0.903,0.21,7.15370959307818e-60,"0","T16G12.13"
"C54D10.13",6.14338454155561e-62,2.68745591354196,0.866,0.197,8.37589048395692e-58,"0","C54D10.13"
"F46E10.2",6.17972422012383e-62,2.26622539721822,1,0.327,8.42543600171683e-58,"0","F46E10.2"
"ZK899.2",7.63796112498161e-62,2.09666653091962,0.97,0.345,1.04135961977999e-57,"0","ZK899.2"
"cest-17",3.2826807256706e-61,2.22863127816415,0.963,0.387,4.4756069013793e-57,"0","cest-17"
"atf-2",5.94688245914809e-59,1.64232262936169,0.821,0.164,8.1079795448025e-55,"0","atf-2"
"clec-266",1.08174912885742e-57,2.28129079857952,0.985,0.342,1.47485676228421e-53,"0","clec-266"
"clec-196",2.21890782885437e-57,1.05622104714304,0.94,0.213,3.02525893386004e-53,"0","clec-196"
"C44F1.1",2.83729645471769e-57,2.51847084505225,0.813,0.21,3.86836998636209e-53,"0","C44F1.1"
"M79.2",1.94469718809217e-55,2.8179237958384,0.724,0.126,2.65140014624486e-51,"0","M79.2"
"aman-1",2.02214642032623e-55,2.28591360842921,0.955,0.392,2.75699442947279e-51,"0","aman-1"
"pmp-2",2.06855438395302e-55,2.2783621151709,0.963,0.406,2.82026704708155e-51,"0","pmp-2"
"gba-3",3.37800714250536e-55,2.08386720066141,0.828,0.148,4.60557493809181e-51,"0","gba-3"
"fbxc-51",6.67115343421934e-55,1.85508576086515,0.896,0.18,9.09545059221464e-51,"0","fbxc-51"
"ugt-53",9.32421041593433e-55,2.81115470787184,0.724,0.113,1.27126284810849e-50,"0","ugt-53"
"cnc-10",1.27573670772154e-54,3.12604337208653,0.694,0.118,1.73933942730754e-50,"0","cnc-10"
