"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ppt-1",0,4.03663232809829,0.993,0.07,0,"0","ppt-1"
"ttr-52",0,4.22220253349717,0.958,0.05,0,"0","ttr-52"
"C10A4.3",0,5.68510841962178,0.898,0.019,0,"0","C10A4.3"
"cht-4",0,4.1861288754081,0.912,0.036,0,"0","cht-4"
"T19D7.6",0,5.36219242396328,0.813,0.015,0,"0","T19D7.6"
"sams-5",2.52716054461195e-294,3.99097116238733,0.876,0.049,3.86377575665721e-290,"0","sams-5"
"klo-1",3.83445831091165e-291,4.45407386513468,0.887,0.061,5.86250331155282e-287,"0","klo-1"
"gba-3",3.03075250232963e-287,4.30250054604693,0.852,0.045,4.63371750081178e-283,"0","gba-3"
"C54D10.13",5.48890110571784e-286,4.56617500288097,0.852,0.052,8.391980900532e-282,"0","C54D10.13"
"T19B10.2",3.49559578786184e-266,3.58612714331754,0.951,0.093,5.34441640006196e-262,"0","T19B10.2"
"ugt-53",4.77284364145518e-261,4.33544101246317,0.724,0.027,7.29720064342082e-257,"0","ugt-53"
"cpz-1",9.45912930137521e-257,4.98897215913994,1,0.167,1.44620627888726e-252,"0","cpz-1"
"mig-6",1.91574567700393e-254,2.16892830306712,0.979,0.098,2.92898356557131e-250,"0","mig-6"
"ugt-23",9.21026258174215e-244,3.34128366284692,0.975,0.128,1.40815704612256e-239,"0","ugt-23"
"cest-6",9.83505547274498e-240,3.82426036216645,0.756,0.045,1.50368163122798e-235,"0","cest-6"
"elt-7",2.78383007028906e-233,3.52331091434141,0.894,0.103,4.25619779446495e-229,"0","elt-7"
"pmp-2",1.07658967501951e-231,3.46960645965975,0.982,0.156,1.64599795413733e-227,"0","pmp-2"
"aman-1",1.22608180350904e-226,3.52393066059208,0.912,0.122,1.87455646938498e-222,"0","aman-1"
"acs-14",2.44971382485741e-214,3.19620217396984,0.88,0.108,3.7453674668245e-210,"0","acs-14"
"C07B5.4",3.38674878123011e-211,3.29461774526183,0.731,0.06,5.17800021162271e-207,"0","C07B5.4"
