p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
4.00545860009435e-31,3.73920279541961,0.343,0.045,6.05465121990262e-27,0,tsp-10
9.86019361078725e-43,3.25514120890172,0.38,0.033,1.4904668662066e-38,0,ppat-1
6.8404887710904e-47,3.22227384581588,0.62,0.116,1.03400828263802e-42,0,T28F3.8
2.62389482182993e-58,3.16500307293832,0.693,0.121,3.96627941267812e-54,0,Y51H4A.24
6.85935821941355e-33,3.07800663726557,0.547,0.133,1.03686058844655e-28,0,lipl-2
6.97830336319407e-34,2.95211489251635,0.431,0.072,1.05484033638042e-29,0,cln-3.1
8.56565043830235e-22,2.90480853039013,0.263,0.038,1.29478372025378e-17,0,gba-2
2.08068078802762e-42,2.8705660384084,0.401,0.039,3.14515707918255e-38,0,lips-11
4.40576346386411e-51,2.82218071919646,0.759,0.197,6.65975205197699e-47,0,PDB1.1
9.04341385077753e-35,2.80619015857795,0.606,0.148,1.36700243768353e-30,0,Y54G2A.45
5.32723898167379e-50,2.70899380325004,0.533,0.074,8.0526544446981e-46,0,pals-34
1.55247403578861e-44,2.62311501228387,0.73,0.194,2.34671975249806e-40,0,F49E12.10
1.44533953720036e-48,2.58801233979293,0.65,0.119,2.18477524443206e-44,0,drd-5
1.94945292883412e-60,2.57327104231276,0.854,0.197,2.94679304722565e-56,0,C18A11.3
1.95719524857108e-25,2.46746436527884,0.321,0.049,2.95849633774005e-21,0,ZK1307.7
6.15411889307854e-19,2.41970530992266,0.285,0.055,9.30256611877752e-15,0,arrd-3
4.69784457683638e-17,2.40361998823118,0.38,0.114,7.10126186234587e-13,0,Y71H2AM.14
8.35040714182375e-12,2.36677979078662,0.263,0.074,1.26224754355808e-07,0,xtr-1
9.68139285587145e-19,2.2889441854465,0.263,0.047,1.46343934409353e-14,0,C39B5.10
1.19489871671403e-19,2.23842507256937,0.307,0.061,1.80620890018493e-15,0,F55G1.15
2.28001295484817e-56,2.21421100004108,0.978,0.293,3.44646758254849e-52,0,C12D12.1
7.79169448189716e-20,2.19907551562825,0.387,0.1,1.17779253788357e-15,0,chil-23
4.09788522660827e-13,2.17421732643475,0.358,0.116,6.19436330854106e-09,0,E02H4.4
8.28443960699697e-56,2.17417986691937,0.956,0.309,1.25227589099366e-51,0,R09H10.5
1.61810728331732e-48,2.17386252195467,0.839,0.251,2.44593096946246e-44,0,clec-83
8.16252341553819e-17,2.16524875393935,0.38,0.111,1.23384703949275e-12,0,C49G7.7
5.35685763863187e-26,2.15835686833311,0.562,0.166,8.09742600655594e-22,0,Y38H6C.24
2.87824199231134e-11,2.15037821110522,0.314,0.11,4.35075059557783e-07,0,aex-4
3.29032753291e-14,2.14185320396825,0.299,0.084,4.97365909874676e-10,0,F31F7.1
9.80990380426695e-46,2.09272693576203,0.847,0.27,1.48286505905299e-41,0,T16G12.1
5.66920431740966e-26,2.06949759278798,0.635,0.221,8.56956924619645e-22,0,ptr-24
6.23114533952249e-17,2.06799036350538,0.511,0.188,9.4189992952222e-13,0,M04C3.5
4.28204675826642e-48,2.06077719518821,0.803,0.25,6.47274187979552e-44,0,W02B12.1
4.03599993204326e-26,2.05746290601824,0.577,0.176,6.1008174972766e-22,0,K10G6.5
2.93350695655734e-31,2.04065615998351,0.635,0.205,4.43428911553207e-27,0,C01H6.4
1.15918444597954e-50,2.02534308800475,0.891,0.302,1.75222320854267e-46,0,lmp-2
1.29667080270194e-48,2.01222348550946,0.978,0.375,1.96004758536425e-44,0,irg-7
1.69532010940402e-19,2.00661318314694,0.372,0.088,2.56264587737512e-15,0,clec-84
8.3455923198209e-19,1.99979124353919,0.343,0.081,1.26151973506413e-14,0,nhr-208
3.13664304250123e-23,1.97919461509978,0.482,0.13,4.74134962304487e-19,0,M01A8.1
1.58385871668328e-16,1.97267292736978,0.343,0.093,2.39416083613845e-12,0,hrg-6
3.85871369187117e-22,1.96154248365023,0.511,0.155,5.83283161663247e-18,0,best-13
2.76552779322609e-41,1.9386157744212,0.956,0.331,4.18037181224056e-37,0,T25C12.3
9.15820681073715e-37,1.93752972718489,0.533,0.1,1.38435454151103e-32,0,scl-2
