,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12
ttr-50,-0.561781549621287,2.03679728566289,-0.62318082294678,-0.628753524133985,-0.616308299309912,-0.629274543156004,-0.628467743821013,1.70417239964523,0.965266146715418,-0.623261982126241,-0.615349903445075,-0.580614705238502,0.800757241775267
atp-6,0.448194097116102,-0.129713436688184,-0.81250295475307,0.587940672591702,-0.15284293457365,0.409190395897222,-0.575145812618748,-0.765805490750915,0.406600000449791,-1.0759399688138,-0.0375901736252272,2.70663986216978,-1.00902425640101
ZK675.4,-0.180159907148787,-0.28758812638245,-0.286969925896788,-0.287425147736849,-0.288005996301873,-0.288249428403381,-0.288209953791275,-0.288290845192559,-0.281259036078115,-0.277146197755402,3.32675716701315,-0.285161757133108,-0.288290845192559
ctc-2,0.256136614282796,-0.0953177027841259,-0.561308661145969,0.45924810585575,-0.256625529807535,0.401564188263362,-0.695364306104748,-0.731223036736901,0.390717834671018,-0.999388594963621,0.217213173353775,2.76323173773414,-1.14888382261794
nduo-6,0.122273791019644,0.0378867118428015,-0.604226824791683,0.3368253305423,-0.234460571993232,0.456727386710734,-0.767369484659477,-0.730638675252439,0.525467253748153,-0.83131866928901,0.150182121634393,2.76247987832086,-1.22382824783305
ctc-3,0.0985469811263871,0.25860244493301,-0.691944766298943,0.24344381724519,-0.258894353679976,0.334348428188298,-0.945737230800857,-0.64968952453178,0.94780103273748,-1.0063136864287,0.204375436008322,2.58522609933659,-1.11976467783502
C29G2.3,-0.287450636054419,-0.288778317230734,-0.289000454871542,-0.288810188271559,-0.288240742578397,-0.288362610580182,-0.21912227132989,-0.289000454871542,-0.266909113158021,-0.267755087720942,3.32754208223321,-0.265111750694436,-0.289000454871542
clec-266,-0.593955357688141,1.42307256167418,-0.508805312065135,-0.616330825784354,-0.614357217055671,-0.617356662695273,-0.616227531965417,1.68132485399237,0.300766219394966,-0.61776757856237,-0.597518059343476,-0.584367664675394,1.96152257477372
acdh-1,-0.605246103731658,0.741932821447221,-1.29068543883824,-0.349611296329282,-0.599208481891908,-0.0146854334324353,-0.241437984174225,1.90477770177718,-0.283368912915717,0.504767309082104,-1.06808785252666,-0.559401508772125,1.86025518030574
C39B10.7,-0.532625152912314,0.0962280782468063,1.2656555679118,-0.623485484342884,-0.585676209487193,-0.671695868528119,-0.578854453440803,1.23577486304502,-0.127507122330033,-0.684016003455682,-0.682398065999417,-0.526553688118514,2.41515353941134
