"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"dct-18",1.03630223591188e-60,1.68386404328126,1,0.732,1.5664744598044e-56,"0","dct-18"
"C18A11.3",1.94945292883412e-60,2.57327104231276,0.854,0.197,2.94679304722565e-56,"0","C18A11.3"
"Y51H4A.24",2.62389482182993e-58,3.16500307293832,0.693,0.121,3.96627941267812e-54,"0","Y51H4A.24"
"C12D12.1",2.28001295484817e-56,2.21421100004108,0.978,0.293,3.44646758254849e-52,"0","C12D12.1"
"R09H10.5",8.28443960699697e-56,2.17417986691937,0.956,0.309,1.25227589099366e-51,"0","R09H10.5"
"PDB1.1",4.40576346386411e-51,2.82218071919646,0.759,0.197,6.65975205197699e-47,"0","PDB1.1"
"lmp-2",1.15918444597954e-50,2.02534308800475,0.891,0.302,1.75222320854267e-46,"0","lmp-2"
"T04F3.4",1.82872305320807e-50,1.75277515924463,0.971,0.401,2.76429776722932e-46,"0","T04F3.4"
"pals-34",5.32723898167379e-50,2.70899380325004,0.533,0.074,8.0526544446981e-46,"0","pals-34"
"T19D12.1",1.29459449882687e-48,1.91726281226216,0.956,0.311,1.95690904442669e-44,"0","T19D12.1"
"irg-7",1.29667080270194e-48,2.01222348550946,0.978,0.375,1.96004758536425e-44,"0","irg-7"
"drd-5",1.44533953720036e-48,2.58801233979293,0.65,0.119,2.18477524443206e-44,"0","drd-5"
"clec-83",1.61810728331732e-48,2.17386252195467,0.839,0.251,2.44593096946246e-44,"0","clec-83"
"W02B12.1",4.28204675826642e-48,2.06077719518821,0.803,0.25,6.47274187979552e-44,"0","W02B12.1"
"T28F3.8",6.8404887710904e-47,3.22227384581588,0.62,0.116,1.03400828263802e-42,"0","T28F3.8"
"T05C3.6",3.11190247827842e-46,1.89304449177969,0.839,0.237,4.70395178616566e-42,"0","T05C3.6"
"T16G12.1",9.80990380426695e-46,2.09272693576203,0.847,0.27,1.48286505905299e-41,"0","T16G12.1"
"F49E12.10",1.55247403578861e-44,2.62311501228387,0.73,0.194,2.34671975249806e-40,"0","F49E12.10"
"nspg-10",1.3012032545339e-43,1.7197948478273,0.993,0.352,1.96689883955344e-39,"0","nspg-10"
"ppat-1",9.86019361078725e-43,3.25514120890172,0.38,0.033,1.4904668662066e-38,"0","ppat-1"
"lips-11",2.08068078802762e-42,2.8705660384084,0.401,0.039,3.14515707918255e-38,"0","lips-11"
"F31F4.1",2.24642384027858e-41,1.8325039638493,0.745,0.208,3.3956942769651e-37,"0","F31F4.1"
"T25C12.3",2.76552779322609e-41,1.9386157744212,0.956,0.331,4.18037181224056e-37,"0","T25C12.3"
"scav-6",2.75484299908076e-40,1.66769065834494,0.891,0.346,4.16422067741048e-36,"0","scav-6"
"nspg-9",1.45171999770193e-39,1.4997071734009,0.993,0.459,2.19441994852624e-35,"0","nspg-9"
"ttr-41",1.57070359795277e-39,1.39851730533917,0.985,0.566,2.3742755586654e-35,"0","ttr-41"
"nspg-13",1.76141409845149e-39,1.59977809721697,0.956,0.381,2.66255355121927e-35,"0","nspg-13"
"Y16B4A.2",2.059945780621e-39,1.91834785204798,0.912,0.339,3.11381404198671e-35,"0","Y16B4A.2"
"T04C12.1",3.83710719227374e-39,1.53052451876799,0.949,0.474,5.80017123184098e-35,"0","T04C12.1"
"aqp-4",4.94762619366651e-39,1.69387281137136,0.92,0.419,7.47883175434629e-35,"0","aqp-4"
"nspg-14",7.02819028218648e-39,1.4956789120302,1,0.487,1.06238124305531e-34,"0","nspg-14"
"Y71F9B.9",1.08119659684938e-38,1.88463563122167,0.869,0.467,1.63433677579752e-34,"0","Y71F9B.9"
"ttr-48",5.5617058667741e-38,1.51501611904505,0.942,0.417,8.40707458821573e-34,"0","ttr-48"
"ZC196.5",5.7878183606236e-38,1.93012306731065,0.628,0.155,8.74886623391864e-34,"0","ZC196.5"
"nspg-6",1.15561091379184e-37,1.60932523064232,0.956,0.411,1.74682145728775e-33,"0","nspg-6"
"scl-2",9.15820681073715e-37,1.93752972718489,0.533,0.1,1.38435454151103e-32,"0","scl-2"
"nspg-7.1",2.14484521140581e-35,1.39863309246691,0.956,0.345,3.24214802156103e-31,"0","nspg-7.1"
"cest-8",3.45399476217251e-35,1.81598477334924,0.876,0.326,5.22105848249997e-31,"0","cest-8"
"F26A10.2",4.42409660253301e-35,1.21910739629944,0.708,0.202,6.6874644243889e-31,"0","F26A10.2"
"Y54G2A.45",9.04341385077753e-35,2.80619015857795,0.606,0.148,1.36700243768353e-30,"0","Y54G2A.45"
"F46G10.1",1.58690345847181e-34,1.36582900503877,0.934,0.464,2.39876326782598e-30,"0","F46G10.1"
"cln-3.1",6.97830336319407e-34,2.95211489251635,0.431,0.072,1.05484033638042e-29,"0","cln-3.1"
"T02B11.8",2.16594402033674e-33,1.33427354132906,0.642,0.172,3.27404098114102e-29,"0","T02B11.8"
"M28.8",5.74764442142601e-33,1.862957170736,0.796,0.283,8.68813930742756e-29,"0","M28.8"
"lipl-2",6.85935821941355e-33,3.07800663726557,0.547,0.133,1.03686058844655e-28,"0","lipl-2"
"C26C6.9",8.14412161398896e-33,1.2202070187788,0.92,0.505,1.23106542317057e-28,"0","C26C6.9"
"pbo-1",2.09829955602216e-32,1.30836527970315,0.869,0.38,3.1717896088831e-28,"0","pbo-1"
"pfut-1",2.11076839993954e-32,1.5463365144346,0.876,0.406,3.19063751334861e-28,"0","pfut-1"
"trx-3",5.29874432670251e-32,1.65850131266967,0.701,0.223,8.00958192424351e-28,"0","trx-3"
"T26H5.8",8.08657632597e-32,1.45992652411919,0.569,0.14,1.22236687743363e-27,"0","T26H5.8"
