"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",2.62389482182993e-58,3.16500307293832,0.693,0.121,3.96627941267812e-54,"0","Y51H4A.24"
"2",4.40576346386411e-51,2.82218071919646,0.759,0.197,6.65975205197699e-47,"0","PDB1.1"
"3",6.8404887710904e-47,3.22227384581588,0.62,0.116,1.03400828263802e-42,"0","T28F3.8"
"4",9.86019361078725e-43,3.25514120890172,0.38,0.033,1.4904668662066e-38,"0","ppat-1"
"5",2.08068078802762e-42,2.8705660384084,0.401,0.039,3.14515707918255e-38,"0","lips-11"
"6",9.04341385077753e-35,2.80619015857795,0.606,0.148,1.36700243768353e-30,"0","Y54G2A.45"
"7",6.97830336319407e-34,2.95211489251635,0.431,0.072,1.05484033638042e-29,"0","cln-3.1"
"8",6.85935821941355e-33,3.07800663726557,0.547,0.133,1.03686058844655e-28,"0","lipl-2"
"9",4.00545860009435e-31,3.73920279541961,0.343,0.045,6.05465121990262e-27,"0","tsp-10"
"10",8.56565043830235e-22,2.90480853039013,0.263,0.038,1.29478372025378e-17,"0","gba-2"
"11",2.79452227910627e-88,3.30603801169553,0.889,0.111,4.22419987709703e-84,"1","C10A4.3"
"12",3.27053433055944e-81,3.39620776257818,0.769,0.088,4.94373969407365e-77,"1","T19D7.6"
"13",1.84801539422649e-49,3.4827049063308,0.581,0.088,2.79346006991276e-45,"1","cdk-1"
"14",1.71234330115202e-37,3.34903245047282,0.436,0.061,2.58837813402139e-33,"1","rnr-1"
"15",1.64526266214616e-36,3.89479876634954,0.385,0.044,2.48697904010013e-32,"1","ctf-8"
"16",5.21483897994219e-33,3.29723322017895,0.436,0.071,7.88275060208061e-29,"1","tost-1"
"17",2.9923775618034e-25,3.43020051050167,0.265,0.029,4.52327792242202e-21,"1","orc-3"
"18",8.96360509155824e-24,3.33624843754348,0.291,0.04,1.35493854563994e-19,"1","erh-2"
"19",8.6599078531545e-22,3.20852676309868,0.325,0.058,1.30903167108283e-17,"1","srh-25"
"20",7.44935063793971e-21,3.36262217139902,0.291,0.049,1.12604384243097e-16,"1","capg-2"
"21",7.18548100729644e-64,7.15786104050825,0.458,0.023,1.08615730906293e-59,"2","sbt-1"
"22",9.45539234398875e-64,9.22198384654873,0.336,0.002,1.42927710671734e-59,"2","ehn-3"
"23",1.32015389724487e-50,7.88032137124983,0.28,0.003,1.99554463107535e-46,"2","unc-39"
"24",3.70744751196094e-49,8.74452427780566,0.318,0.01,5.60417765908015e-45,"2","F28B12.6"
"25",5.79834901823085e-49,7.28927978086189,0.336,0.014,8.76478437595776e-45,"2","emb-9"
"26",1.0101180836914e-48,8.27265916945096,0.262,0.002,1.52689449530792e-44,"2","C36B7.2"
"27",2.20263354770436e-45,8.81527113466611,0.411,0.037,3.32950087070991e-41,"2","sdz-27"
"28",2.41824999551746e-34,7.90766685887212,0.252,0.013,3.6554266932242e-30,"2","F19B10.2"
"29",7.55064628822161e-28,6.94483988523652,0.308,0.038,1.14135569292758e-23,"2","C29F9.6"
"30",1.07949052647031e-22,7.02369936936228,0.271,0.037,1.63175787981252e-18,"2","hsp-12.3"
"31",8.93348541104198e-86,4.06726394469373,0.859,0.085,1.35038565473311e-81,"3","R193.2"
"32",7.86548536132795e-84,3.73791681627116,0.941,0.132,1.18894676721833e-79,"3","ZK1320.3"
"33",5.90382902309896e-81,4.30955713996017,0.812,0.08,8.92422795131639e-77,"3","clec-62"
"34",2.98604385046172e-60,3.83792589863122,0.941,0.21,4.51370388435794e-56,"3","cpr-9"
"35",6.50268839370402e-57,3.63043618155268,0.706,0.091,9.829463775923e-53,"3","F23F12.13"
"36",1.71472543403011e-43,3.55620213403658,0.494,0.052,2.59197896607992e-39,"3","daf-36"
"37",1.29953393694309e-42,4.23613581171326,0.353,0.019,1.96437549908318e-38,"3","bgal-2"
"38",1.86507219833771e-39,4.12946304523263,0.388,0.03,2.81924313500728e-35,"3","clec-227"
"39",1.03474508240458e-31,4.74508801643989,0.271,0.016,1.56412066656277e-27,"3","clec-54"
"40",1.53453065230402e-25,3.80257435951495,0.388,0.061,2.31959653402275e-21,"3","best-7"
"41",1.18229369685922e-72,4.13789586161732,0.647,0.038,1.7871551521724e-68,"4","glc-1"
"42",2.74752822994564e-55,4.0890128960034,0.471,0.023,4.15316367238582e-51,"4","clec-167"
"43",7.08273403355791e-46,5.49853194001163,0.324,0.01,1.07062607651261e-41,"4","T09B9.5"
"44",3.80066808749816e-45,4.13423899025212,0.338,0.012,5.74508988106221e-41,"4","sysm-1"
"45",7.81429137212393e-45,3.70754549791671,0.515,0.046,1.18120828381025e-40,"4","nspg-11"
