"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C10A4.3",0,5.80710659746567,0.942,0.025,0,"0","C10A4.3"
"cht-4",4.91064064098694e-296,4.07279772891602,0.915,0.048,7.42292439291585e-292,"0","cht-4"
"T19D7.6",3.73810592329357e-294,4.97412918302533,0.815,0.028,5.65052091365057e-290,"0","T19D7.6"
"sams-5",5.95856756311022e-288,4.05140660782437,0.911,0.051,9.00697072839741e-284,"0","sams-5"
"ttr-52",4.94061203527775e-286,4.0956312565361,0.954,0.064,7.46822915252585e-282,"0","ttr-52"
"ppt-1",6.48328457176822e-272,3.92772377696719,0.992,0.087,9.80013295868484e-268,"0","ppt-1"
"gba-3",1.02984113637989e-271,4.23816458755868,0.869,0.046,1.55670786175184e-267,"0","gba-3"
"dao-2",4.15280623559753e-269,4.21353225575701,0.965,0.082,6.27738190572923e-265,"0","dao-2"
"T19B10.2",5.96395048499126e-252,3.7022611984046,0.969,0.098,9.01510755311278e-248,"0","T19B10.2"
"klo-1",5.04330722521138e-247,4.24959735416233,0.884,0.076,7.62346320162952e-243,"0","klo-1"
"ugt-53",6.04861951115301e-242,4.21366631362137,0.757,0.035,9.1430932530589e-238,"0","ugt-53"
"C54D10.13",1.47349550975511e-228,4.08722524872578,0.842,0.073,2.22733581254583e-224,"0","C54D10.13"
"cpz-1",7.60663397443661e-226,4.69651191516065,0.996,0.182,1.14981879157584e-221,"0","cpz-1"
"mig-6",4.08209230649341e-224,2.20712913600236,0.988,0.116,6.17049073049544e-220,"0","mig-6"
"pmp-2",1.21119401119526e-222,3.71187562849148,0.981,0.15,1.83084086732276e-218,"0","pmp-2"
"cest-6",1.0566173409617e-208,3.84587418673642,0.768,0.057,1.5971827725977e-204,"0","cest-6"
"ugt-23",1.2043719009956e-203,3.1925752264808,0.973,0.157,1.82052856554495e-199,"0","ugt-23"
"C33G3.4",3.29697626259714e-199,3.33064395008614,0.992,0.178,4.98370931854183e-195,"0","C33G3.4"
"acs-14",1.60197149414128e-198,3.24026298799988,0.88,0.111,2.42154011054396e-194,"0","acs-14"
"odd-1",2.89880226642515e-196,3.95134316067423,0.622,0.028,4.38182950592826e-192,"0","odd-1"
"elt-7",1.080889792683e-189,3.33791646939925,0.892,0.135,1.63387301061963e-185,"0","elt-7"
"cpl-1",1.12021626195907e-189,4.02166149515797,0.996,0.26,1.69331890157733e-185,"0","cpl-1"
"dig-1",3.834110722344e-187,2.63050250611059,0.772,0.07,5.7956417678952e-183,"0","dig-1"
"aman-1",3.51902230181609e-185,3.27717008546475,0.903,0.147,5.3193541114252e-181,"0","aman-1"
"cnc-10",3.91976084361516e-182,4.28477228106226,0.695,0.058,5.92511049120868e-178,"0","cnc-10"
"nhr-205",3.0392298687329e-181,4.4489279029783,0.653,0.046,4.59409986957666e-177,"0","nhr-205"
"F59D6.1",9.36491922189038e-178,4.03633782142942,0.602,0.034,1.41560118958095e-173,"0","F59D6.1"
"C44F1.1",1.69383518214348e-177,3.62571683436336,0.726,0.078,2.56040126132808e-173,"0","C44F1.1"
"R11F4.1",2.90340227932516e-176,3.12791984211583,0.807,0.102,4.38878288542791e-172,"0","R11F4.1"
"poml-2",8.99964053848926e-175,4.07687938163468,0.56,0.028,1.36038566379804e-170,"0","poml-2"
"unc-129",1.25090909174866e-173,3.16686170757343,0.768,0.082,1.89087418308727e-169,"0","unc-129"
"mfsd-11",1.68876408066441e-170,3.88490337215869,0.629,0.047,2.55273578433232e-166,"0","mfsd-11"
"pnp-1",4.44156524101742e-167,2.85452330217601,0.95,0.203,6.71387001832193e-163,"0","pnp-1"
"C07B5.4",2.52307636079943e-165,3.08187878734911,0.718,0.081,3.81388222698441e-161,"0","C07B5.4"
"F21A3.11",4.41199670848569e-163,3.84685306026229,0.564,0.032,6.66917422454697e-159,"0","F21A3.11"
"maoc-1",1.44364272494341e-162,2.97272329867041,0.946,0.228,2.18221034302446e-158,"0","maoc-1"
"B0228.7",1.46068816682195e-162,2.95739235908893,0.931,0.206,2.20797623296806e-158,"0","B0228.7"
"alh-13",2.45372971388812e-160,2.89526661671598,0.923,0.187,3.70905783551328e-156,"0","alh-13"
"F46E10.2",5.83528233898443e-159,3.31401491913514,0.992,0.328,8.82061278360886e-155,"0","F46E10.2"
"ZK550.6",4.37503211025661e-158,2.88877001294662,0.954,0.232,6.6132985378639e-154,"0","ZK550.6"
"ceeh-1",1.01438969211535e-157,2.60432178114712,0.764,0.1,1.53335145860156e-153,"0","ceeh-1"
"cwn-2",4.02796798863509e-156,2.35187679567077,0.954,0.203,6.0886764116208e-152,"0","cwn-2"
"cpr-6",8.7007251601588e-156,2.94640911287247,0.981,0.293,1.3152016152096e-151,"0","cpr-6"
"nlp-31",2.92998843105593e-152,2.39069765659575,0.66,0.063,4.42897051238414e-148,"0","nlp-31"
"C26F1.1",1.62583857786391e-151,2.72799746496412,0.969,0.252,2.45761759429909e-147,"0","C26F1.1"
"ttm-2",2.33212658155037e-151,3.99854065013436,0.463,0.019,3.52524254067154e-147,"0","ttm-2"
"zip-12",8.50182303103912e-151,2.818607072425,0.946,0.263,1.28513556937187e-146,"0","zip-12"
"cest-10",6.53318013250569e-150,2.77948883161673,0.869,0.164,9.8755550882956e-146,"0","cest-10"
"ttr-50",1.08667495868702e-149,4.02899171181936,1,0.572,1.64261786755129e-145,"0","ttr-50"
"Y71F9B.1",1.49267660618236e-149,3.43274144152307,0.699,0.082,2.25632995790525e-145,"0","Y71F9B.1"
"T13A10.1",3.33612329559223e-149,5.129312772552,0.444,0.016,5.04288397361721e-145,"0","T13A10.1"
"F19C6.5",9.07329881612004e-148,3.15853657323321,0.799,0.14,1.37151984904471e-143,"0","F19C6.5"
"T16G12.13",1.35643270454708e-147,2.74007356877922,0.938,0.221,2.05038367619337e-143,"0","T16G12.13"
"ttr-36",2.03700529825276e-147,3.29858463562172,0.575,0.047,3.07913720883887e-143,"0","ttr-36"
"T20B3.1",3.39685336187576e-147,2.63077482225918,0.691,0.081,5.1346835418114e-143,"0","T20B3.1"
"cth-1",3.46175582074547e-147,2.67162895448151,0.56,0.039,5.23279009863885e-143,"0","cth-1"
"C06A8.8",1.80406923622673e-146,3.40708181962786,0.653,0.071,2.72703105748033e-142,"0","C06A8.8"
"C17C3.1",2.15373579018306e-146,2.8944996385101,0.869,0.184,3.25558702044072e-142,"0","C17C3.1"
"atf-2",8.41640161028777e-145,2.09901089325314,0.714,0.089,1.2722232674111e-140,"0","atf-2"
"pycr-1",1.27352102870031e-144,2.66898499784894,0.811,0.149,1.92505438698339e-140,"0","pycr-1"
"amx-3",1.6460360148116e-144,3.3085431068416,0.622,0.064,2.48814803998921e-140,"0","amx-3"
"acp-6",2.08273915914233e-144,3.28211534702629,0.564,0.045,3.14826851295955e-140,"0","acp-6"
"nrf-6",3.60293478245188e-143,2.94893365465669,0.768,0.126,5.44619621715426e-139,"0","nrf-6"
"ftn-2",8.58667048663419e-143,3.50137972376172,0.942,0.268,1.29796111075962e-138,"0","ftn-2"
"M01H9.4",1.06253133193542e-142,2.67991169177211,0.884,0.2,1.60612236135358e-138,"0","M01H9.4"
"wht-2",2.22728270818378e-142,3.24171528850131,0.687,0.088,3.3667605416906e-138,"0","wht-2"
"nhr-232",2.59290600005129e-142,3.29166898701491,0.741,0.111,3.91943670967752e-138,"0","nhr-232"
"F37H8.5",8.3556885224285e-142,1.69094694490861,0.803,0.111,1.26304587705029e-137,"0","F37H8.5"
"T10B11.5",4.8776923731689e-141,3.39471198276398,0.633,0.075,7.3731197912821e-137,"0","T10B11.5"
"lgmn-1",7.96177212440003e-140,2.49508053807334,0.985,0.295,1.20350147432431e-135,"0","lgmn-1"
"T21E8.5",8.57488107991798e-140,3.69149487291542,0.479,0.027,1.2961790240404e-135,"0","T21E8.5"
"F15G9.1",3.1166135823165e-139,2.4152684822789,0.656,0.078,4.71107309102962e-135,"0","F15G9.1"
"elt-2",5.32833209163244e-139,2.59051180476067,0.865,0.181,8.05430678971159e-135,"0","elt-2"
"ras-2",3.6136138589505e-138,2.72514604785045,0.571,0.05,5.46233870918957e-134,"0","ras-2"
"cest-2.1",1.04945884115361e-136,2.80527508746527,0.78,0.134,1.58636198428779e-132,"0","cest-2.1"
