"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C10A4.3",6.12900942689087e-79,2.80574933514547,0.936,0.193,9.37064251277344e-75,"0","C10A4.3"
"ncam-1",7.77689708936714e-78,3.11235326678943,0.922,0.199,1.18900979599334e-73,"0","ncam-1"
"clec-196",1.95388729824361e-74,2.66894235560932,0.993,0.28,2.98729829028465e-70,"0","clec-196"
"inx-3",1.77186196860198e-72,2.32168398831007,0.95,0.205,2.70899976379557e-68,"0","inx-3"
"igcm-3",5.79108159638352e-72,2.4837460223662,0.95,0.238,8.85398465271076e-68,"0","igcm-3"
"gba-3",7.1877349169085e-72,2.79063405387867,0.943,0.216,1.09893279144614e-67,"0","gba-3"
"dao-2",8.55970792262772e-71,2.82130562862578,0.965,0.269,1.30869374429055e-66,"0","dao-2"
"atz-1",4.32122570661562e-70,2.64633131322787,0.943,0.257,6.60672198284461e-66,"0","atz-1"
"rnst-2",3.04025623885941e-69,2.49140513986419,0.972,0.25,4.64824776359215e-65,"0","rnst-2"
"fbxc-51",3.62450081602863e-67,2.57749092883626,0.894,0.219,5.54149929762618e-63,"0","fbxc-51"
"C35E7.5",8.15879661700196e-66,2.43886976775245,0.887,0.192,1.24739841477343e-61,"0","C35E7.5"
"clec-266",1.63924972796029e-65,2.46278634522193,1,0.393,2.50624890907848e-61,"0","clec-266"
"inx-2",1.91230160736614e-65,2.36575281892514,0.901,0.216,2.92371792750209e-61,"0","inx-2"
"acdh-2",2.28267506702343e-65,2.70422227537436,0.879,0.214,3.48998190997212e-61,"0","acdh-2"
"epi-1",4.44289211875606e-65,2.37703087464094,0.972,0.267,6.79273776036614e-61,"0","epi-1"
"C33G3.4",4.92579376274047e-65,2.31048459603992,0.993,0.307,7.5310460838539e-61,"0","C33G3.4"
"lam-2",1.5952772670789e-64,2.30247502106098,0.965,0.276,2.43901941363693e-60,"0","lam-2"
"C08F1.10",4.90020328032281e-64,2.43449097611618,0.766,0.119,7.49192079528555e-60,"0","C08F1.10"
"C07D10.5",6.00756830223342e-64,2.36364737572649,0.858,0.189,9.18497117728468e-60,"0","C07D10.5"
"mig-6",6.81894227674765e-64,2.27678990098593,0.986,0.299,1.04254808469195e-59,"0","mig-6"
"sams-5",7.29907470754492e-64,2.27167460784774,0.915,0.229,1.11595553203654e-59,"0","sams-5"
"dig-1",1.91634029825993e-62,2.70384076711509,0.844,0.2,2.9298926820096e-58,"0","dig-1"
"ugt-53",3.14930369682821e-62,2.76634665457838,0.83,0.177,4.81497042208064e-58,"0","ugt-53"
"lbp-1",4.05066024623435e-62,1.89384601486412,0.979,0.29,6.1930544504677e-58,"0","lbp-1"
"his-60",3.97874146967847e-61,2.23281194695689,0.865,0.21,6.08309783299142e-57,"0","his-60"
"nlp-31",4.51961856441935e-61,1.78642569170709,0.816,0.155,6.91004482314074e-57,"0","nlp-31"
