"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"arrd-1",2.18281609690431e-226,4.25570975490509,0.715,0.07,3.33730753055699e-222,"0","arrd-1"
"F22E5.20",1.4928331033799e-208,4.02776511957444,0.668,0.064,2.28239253175753e-204,"0","F22E5.20"
"Y71F9AL.7",5.54986900506806e-203,2.98636463732459,0.984,0.3,8.48519472184856e-199,"0","Y71F9AL.7"
"Y17G9B.2",4.3081539829847e-191,2.59861198708506,0.992,0.404,6.58673662458531e-187,"0","Y17G9B.2"
"K02B12.2",9.15161978201708e-191,3.11855813320956,0.937,0.276,1.39919114847259e-186,"0","K02B12.2"
"Y27F2A.8",3.33032834663884e-188,3.83685664863506,0.697,0.093,5.09173900917612e-184,"0","Y27F2A.8"
"C43D7.8",9.7526213130931e-186,4.51265057286463,0.538,0.038,1.4910782725588e-181,"0","C43D7.8"
"fbxb-37",4.40847558198004e-185,3.13736414251612,0.718,0.1,6.74011831728929e-181,"0","fbxb-37"
"Y45G5AM.5",3.87666818368862e-183,3.78477176298809,0.683,0.095,5.92703798604153e-179,"0","Y45G5AM.5"
"Y71F9AL.6",1.8162586928103e-182,2.92951679025432,0.892,0.23,2.77687791543768e-178,"0","Y71F9AL.6"
"ZK930.6",3.08961267255885e-181,3.45084080340949,0.768,0.134,4.72370881507522e-177,"0","ZK930.6"
"cec-8",7.58892536855227e-181,2.63181336025621,0.916,0.256,1.16027079959796e-176,"0","cec-8"
"asp-4",1.71230063710683e-180,2.93633564662912,0.894,0.235,2.61793644407263e-176,"0","asp-4"
"mcm-7",2.73964725813423e-174,2.33394547826067,0.984,0.37,4.18864669296143e-170,"0","mcm-7"
"fbxb-66",1.2071856322401e-172,2.3899617002335,0.966,0.28,1.8456661131319e-168,"0","fbxb-66"
"W03G11.4",3.3629154913203e-167,2.68151692988434,0.62,0.072,5.14156149467961e-163,"0","W03G11.4"
"C03D6.9",2.25286214669666e-166,2.88427216817971,0.786,0.162,3.44440093608453e-162,"0","C03D6.9"
"ztf-11",2.60587616966116e-165,3.17085275744441,0.559,0.054,3.98412407579495e-161,"0","ztf-11"
"F48E3.6",3.92705155070313e-163,2.49333005046305,0.945,0.289,6.00406911587001e-159,"0","F48E3.6"
"his-24",5.18176148736678e-159,2.16620107531871,1,0.67,7.92239513803506e-155,"0","his-24"
"hil-3",2.69708406710273e-157,2.57478770975129,0.979,0.438,4.12357183019336e-153,"0","hil-3"
"C08F1.6",4.33802407098786e-157,2.04148567583683,0.984,0.329,6.63240500213334e-153,"0","C08F1.6"
"Y75B8A.18",1.38971479351903e-155,2.12912181463344,0.982,0.389,2.12473494781125e-151,"0","Y75B8A.18"
"Y71F9AL.25",7.19595946344726e-154,2.65140266063992,0.887,0.282,1.10019024236645e-149,"0","Y71F9AL.25"
"C50F4.6",1.59812399716887e-153,2.22004219587086,0.997,0.502,2.44337177927148e-149,"0","C50F4.6"
"Y23H5B.1",1.38930960103006e-152,4.66467673948139,0.422,0.024,2.12411544901485e-148,"0","Y23H5B.1"
"top-2",1.21544270894576e-150,2.00045015565787,0.992,0.48,1.85829035770717e-146,"0","top-2"
"hmg-1.1",3.2305894313242e-150,1.83210930715127,1,0.782,4.93924818155156e-146,"0","hmg-1.1"
