"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C08F1.10",0,1.78143407656426,0.895,0.355,0,"0","C08F1.10"
"sto-1",0,1.73805117913844,0.911,0.409,0,"0","sto-1"
"hil-3",0,2.31173054330223,0.832,0.334,0,"0","hil-3"
"Y17G9B.2",0,1.87843278426696,0.796,0.307,0,"0","Y17G9B.2"
"fbxb-66",0,2.46458376807241,0.647,0.174,0,"0","fbxb-66"
"asp-4",0,1.76952376684028,0.74,0.279,0,"0","asp-4"
"his-32",0,1.86185498010928,0.85,0.397,0,"0","his-32"
"mix-1",0,1.59156280298418,0.813,0.367,0,"0","mix-1"
"Y71F9AL.7",0,2.27483865100056,0.597,0.157,0,"0","Y71F9AL.7"
"cdk-1",0,2.09250487152065,0.615,0.193,0,"0","cdk-1"
"T28B8.1",0,2.19311434529852,0.82,0.406,0,"0","T28B8.1"
"hil-2",0,2.00573321154516,0.993,0.672,0,"0","hil-2"
"cav-1",0,1.62938114333311,0.98,0.674,0,"0","cav-1"
"htz-1",0,1.54810655652929,0.966,0.677,0,"0","htz-1"
"his-24",0,1.82346146838953,0.991,0.724,0,"0","his-24"
"hmg-1.1",0,1.42428740428533,0.981,0.797,0,"0","hmg-1.1"
"knl-2",9.78249978765668e-322,1.84118542065374,0.694,0.263,1.81856671052538e-317,"0","knl-2"
"Y69A2AR.28",2.83409253198754e-310,1.77956432518741,0.668,0.249,5.26857801696484e-306,"0","Y69A2AR.28"
"cec-5",5.27428454138945e-310,1.4689952413569,0.842,0.434,9.80489496244299e-306,"0","cec-5"
"hrpa-1",4.11179465517564e-296,1.1709841305485,0.941,0.642,7.64382626397151e-292,"0","hrpa-1"
"cdl-1",8.62390276720478e-292,1.62522247688353,0.694,0.268,1.60318352442337e-287,"0","cdl-1"
"his-64",9.35740421595286e-291,1.61445859954443,0.851,0.43,1.73954144374564e-286,"0","his-64"
"his-60",2.75837832633221e-275,1.74050685343572,0.793,0.376,5.12782530865159e-271,"0","his-60"
"Y75B8A.18",7.16134101299182e-275,1.81623800287534,0.59,0.205,1.33129329431518e-270,"0","Y75B8A.18"
"his-59",4.80920660706302e-257,1.67467997631003,0.705,0.309,8.94031508253015e-253,"0","his-59"
"T09B4.5",6.53591924656937e-253,1.17617714137225,0.899,0.533,1.21502738793725e-248,"0","T09B4.5"
"snr-3",1.21640233760621e-250,1.481900501109,0.717,0.323,2.26129194560995e-246,"0","snr-3"
"swsn-4",1.48702039989564e-250,1.14466831870612,0.897,0.569,2.76437092340599e-246,"0","swsn-4"
"C08F1.6",2.99452829528705e-250,1.6133672986997,0.541,0.178,5.56682810093863e-246,"0","C08F1.6"
"his-6",2.58589687028839e-248,1.68869118197682,0.641,0.261,4.80718228186612e-244,"0","his-6"
"sup-26",3.68003854736249e-246,1.35215837573032,0.839,0.45,6.84119165954686e-242,"0","sup-26"
"ugt-50",9.40787218750372e-245,1.71316963628623,0.574,0.208,1.74892343965694e-240,"0","ugt-50"
"top-2",3.92967620111751e-240,1.41176132272229,0.701,0.301,7.30526805787746e-236,"0","top-2"
"rnr-2",5.69606231280716e-236,1.67828316475598,0.703,0.337,1.05889798395085e-231,"0","rnr-2"
"cutl-20",6.9671526933762e-235,2.14344816732483,0.273,0.052,1.29519368569863e-230,"0","cutl-20"
"attf-2",2.05095074038328e-227,1.19530367291491,0.831,0.476,3.81271742637252e-223,"0","attf-2"
"atz-1",1.15025467496654e-226,1.25364499571071,0.787,0.38,2.13832344076279e-222,"0","atz-1"
"ins-2",1.42578532784285e-223,4.13349299823523,0.256,0.05,2.65053492445986e-219,"0","ins-2"
"cya-1",2.4077270807594e-213,1.62975179944619,0.541,0.208,4.47596464313172e-209,"0","cya-1"
"igcm-3",1.4552442075257e-212,1.30116719165227,0.744,0.363,2.70529898179027e-208,"0","igcm-3"
"C50F4.6",9.40600146533316e-212,1.13785692573447,0.751,0.36,1.74857567240543e-207,"0","C50F4.6"
"bmk-1",1.74517156728014e-207,1.82587771282262,0.455,0.156,3.24427394357378e-203,"0","bmk-1"
"swsn-2.2",1.03288606692941e-206,1.68641001010739,0.509,0.192,1.92013519842177e-202,"0","swsn-2.2"
"let-418",5.85621206207005e-203,1.14929953387124,0.82,0.471,1.08866982233882e-198,"0","let-418"
"smc-4",8.66822581090041e-199,1.5733697212443,0.541,0.213,1.61142317824639e-194,"0","smc-4"
"ceh-43",1.70281690719604e-198,1.98697404571139,0.403,0.126,3.16553663047744e-194,"0","ceh-43"
"swsn-9",1.12489816417276e-197,1.23803434435875,0.744,0.395,2.09118568719716e-193,"0","swsn-9"
"hrpr-1",5.71961977940773e-197,1.11513936494567,0.807,0.452,1.0632773169919e-192,"0","hrpr-1"
"EEED8.15",2.15675063698432e-196,1.23356969586972,0.716,0.363,4.00939943415385e-192,"0","EEED8.15"
"cks-1",2.54549399990186e-196,1.47390351600776,0.606,0.263,4.73207334581755e-192,"0","cks-1"
"Y71F9AL.6",1.11170643592996e-195,2.10232133772564,0.36,0.104,2.06666226439379e-191,"0","Y71F9AL.6"
"inx-3",1.87375215282559e-193,1.01767486827385,0.836,0.472,3.48330525210278e-189,"0","inx-3"
"ztf-11",5.00866676776867e-190,1.89323303814266,0.344,0.095,9.31111152128197e-186,"0","ztf-11"
"clec-266",1.74209572599289e-189,1.71791822160336,0.82,0.487,3.23855595462078e-185,"0","clec-266"
"Y82E9BR.17",6.63081936749205e-189,1.42578311155908,0.58,0.24,1.23266932041677e-184,"0","Y82E9BR.17"
"cyb-3",1.25447152786324e-186,1.13475392117365,0.762,0.403,2.33206257029776e-182,"0","cyb-3"
"cyk-4",6.88037115918086e-184,1.70163435663664,0.455,0.168,1.27906099849172e-179,"0","cyk-4"
"snr-7",5.67740234760835e-183,1.08216623236387,0.821,0.522,1.05542909642039e-178,"0","snr-7"
"zen-4",2.92351830399219e-182,1.59808896095537,0.484,0.186,5.43482052712148e-178,"0","zen-4"
"hcp-6",1.41610261136539e-181,1.46143176707478,0.521,0.208,2.63253475452826e-177,"0","hcp-6"
"Y45G5AM.7",9.54057453651631e-179,1.82864474827075,0.426,0.152,1.77359280633838e-174,"0","Y45G5AM.7"
"unc-84",6.62659995471746e-178,1.59237721026833,0.518,0.217,1.23188493158198e-173,"0","unc-84"
"set-1",5.60859965522072e-177,1.44646846112463,0.552,0.239,1.04263867590553e-172,"0","set-1"
"ani-1",1.72661547022438e-173,1.67323921300931,0.463,0.18,3.20977815914712e-169,"0","ani-1"
"snr-1",4.41682624135586e-173,1.30975574664585,0.644,0.318,8.21087998268054e-169,"0","snr-1"
"hcp-4",4.58586889414729e-172,1.8246242689165,0.412,0.147,8.52513027421981e-168,"0","hcp-4"
"C24H12.1",4.8785995533064e-172,1.9516170849488,0.339,0.103,9.0693165695966e-168,"0","C24H12.1"
"his-2",5.24192686715852e-172,1.6186112623117,0.52,0.221,9.74474204604768e-168,"0","his-2"
"F48E3.6",2.21551592876961e-170,1.33527254717296,0.56,0.238,4.1186441115827e-166,"0","F48E3.6"
"F53H1.4",2.50941956665659e-169,1.29247755743179,0.595,0.267,4.66501097441461e-165,"0","F53H1.4"
"spdl-1",2.55925780028472e-169,1.95038019239762,0.372,0.124,4.7576602507293e-165,"0","spdl-1"
"mcm-7",3.59049730914684e-169,1.33388376289308,0.567,0.243,6.67473449770398e-165,"0","mcm-7"
"his-62",5.34347051310938e-168,1.25960510373103,0.709,0.379,9.93351168387034e-164,"0","his-62"
"his-18",6.02113533535682e-167,1.84752494543058,0.489,0.203,1.11932905884283e-162,"0","his-18"
"F33H2.3",1.95763827075658e-166,1.38178261949677,0.581,0.269,3.63924954533648e-162,"0","F33H2.3"
"pbrm-1",4.54218176980084e-166,1.1156771407243,0.737,0.407,8.44391591005977e-162,"0","pbrm-1"
"pqn-59",6.45409122714853e-164,1.05031693583962,0.783,0.467,1.19981555912691e-159,"0","pqn-59"
"inx-2",8.0579786126904e-162,1.06231891080967,0.736,0.396,1.49797822409914e-157,"0","inx-2"
"tcl-2",8.29865013964417e-162,1.94750980963628,0.325,0.099,1.54271906095985e-157,"0","tcl-2"
"chaf-1",3.28727419021792e-160,1.54820035818957,0.458,0.183,6.11104271961511e-156,"0","chaf-1"
"smc-3",3.2578469746687e-159,1.4302369566433,0.525,0.232,6.05633752590911e-155,"0","smc-3"
"T05H4.11",6.78766740436712e-159,1.23101701460657,0.61,0.292,1.26182737047185e-154,"0","T05H4.11"
"his-1",1.78584646996505e-158,1.65751070543072,0.524,0.23,3.31988858766502e-154,"0","his-1"
"cey-4",1.82412183987365e-158,1.04529468952929,0.776,0.49,3.39104250032512e-154,"0","cey-4"
"tba-2",2.71340101309107e-158,1.13681212082098,0.694,0.37,5.0442124833363e-154,"0","tba-2"
"swsn-6",1.1112734025061e-156,1.38673910941497,0.517,0.224,2.06585725525885e-152,"0","swsn-6"
"snr-4",1.10117737476521e-155,1.26159580806536,0.638,0.331,2.04708873968852e-151,"0","snr-4"
"ndc-80",9.4532779704256e-155,1.6565247333847,0.427,0.166,1.75736437470212e-150,"0","ndc-80"
"his-3",6.95935400095395e-154,1.84553657834935,0.434,0.172,1.29374390877734e-149,"0","his-3"
"fzy-1",6.19283254005135e-153,1.57732031768816,0.42,0.163,1.15124756919555e-148,"0","fzy-1"
"ces-2",1.14057864563045e-152,1.85146405968839,0.452,0.186,2.12033570222701e-148,"0","ces-2"
"skr-21",2.09934538652166e-149,1.60344635537138,0.476,0.207,3.90268307354377e-145,"0","skr-21"
"icp-1",3.56271295943733e-145,1.56455548976327,0.413,0.161,6.623083391594e-141,"0","icp-1"
"F56A8.3",5.22134256520033e-145,1.11186989767,0.647,0.339,9.70647582870742e-141,"0","F56A8.3"
"snfc-5",2.94197814668946e-144,1.21138618820343,0.561,0.269,5.4691373746957e-140,"0","snfc-5"
"tbb-1",4.11431250219161e-144,1.18126591355411,0.638,0.336,7.64850694157421e-140,"0","tbb-1"
"F54D5.5",2.05386338431327e-142,1.56127447604559,0.435,0.179,3.81813203143837e-138,"0","F54D5.5"
"air-2",2.32514317300477e-142,1.74166422969542,0.355,0.128,4.32244115861586e-138,"0","air-2"
"cec-8",2.06593663985421e-141,1.38904832606523,0.456,0.187,3.84057621348898e-137,"0","cec-8"
"cnt-2",1.39939078065841e-140,1.49574812499312,0.533,0.256,2.60146746124398e-136,"0","cnt-2"
"hcp-1",2.82559131999528e-139,1.68172889552306,0.357,0.129,5.25277426387122e-135,"0","hcp-1"
"cutl-9",2.89275138831291e-139,1.55133490714086,0.251,0.067,5.37762483087371e-135,"0","cutl-9"
"pop-1",1.19862352824186e-137,1.35989900258524,0.474,0.207,2.22824113900162e-133,"0","pop-1"
