Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
WBGene00000003,aat-2,0.03755659118566606,1.5921352885286568,0.3255682610903803,0.006114078720515326,-2.5050872441875995,0.00000030354744300616865,0.0364168565248702,2.19438977490036,0.000007661925778920728
WBGene00000007,aat-6,0,-2.280807975156523,0.23351436537812104,0.06368832000536798,5.901035978116192,0.00000000000000016284548354919262,0,-5.6496236177360935,0.00000000000001674548740675001
WBGene00000015,abf-4,0,1.5265469469010817,1,0.004076052480343551,2.0936810560585872,0.10522885268524275,0,-1.8422686956784888,0.18705342181982174
WBGene00000022,abt-4,0.0657240345749156,-1.0783151112577802,0.4353318498885082,0.21704979457829407,3.4139208007931794,0.0000000000000000000000016682870223410124,0.013352847392452407,-3.8489324259594997,0.000000000000000000000001391990995848682
WBGene00000024,abu-1,0,3.696471948343394,1,0.0005095065600429438,-0.07624394538372492,1,0,0.3276563057638242,1
WBGene00000030,abu-7,0,2.3745438534560304,1,0.0015285196801288314,-0.07624394538372492,1,0.0012138952174956734,0.3276563057638242,1
WBGene00000031,abu-8,0,2.3745438534560304,1,0.0010190131200858877,-1.0762439453837267,0.689769360438566,0.0024277904349913467,1.3276563057638224,0.42650420675355555
WBGene00000054,acr-15,0,3.111509447622238,1,0,-2.6612064461048828,0.16002256428783818,0.0024277904349913467,2.9126188064849803,0.13160950635072086
WBGene00000055,acr-16,0.009389147796416515,4.111509447622238,0.3323809955139684,0.0005095065600429438,-1.6612064461048828,0.3413600265282241,0.0012138952174956734,0.7426938050426664,1
WBGene00000056,acr-17,0.01877829559283303,3.696471948343394,0.2078656160182094,0.0010190131200858877,-2.076243945383726,0.130555139293195,0.00364168565248702,1.0057282108764607,0.6099804121030119
WBGene00000057,acr-18,0.009389147796416515,4.696471948343394,0.2576449706753622,0.0005095065600429438,-1.076243945383725,0.6313624375777775,0,-0.25730619495733364,1
WBGene00000062,acr-23,0,1.3745438534560304,1,0,-4.398172040271088,0.00013057845763805103,0.01092505695746106,4.649584400651187,0.000048327329397848936
WBGene00000063,act-1,1.1548651789592315,2.526546946901081,0.000023874631147836406,0.18647940097571744,-0.8558157109277915,0.0027503679634378483,0.23185398654167363,-0.02401913251759069,1
WBGene00000064,act-2,0.4882356854136588,1.2198212586573884,0.07802162065884533,0.07540697088635569,-2.8054426565062416,0.000000000000000000000000000020376355077406577,0.535327790915592,2.4645071739763265,0.00000000000000000000002549337046097842
WBGene00000065,act-3,1.0797519965878992,2.078719512504567,0.000298348567928547,0.14622838273232489,-1.983134540992244,0.000000000000000207681012980766,0.5146915722181655,1.4043393082609203,0.000000014765843697858022
WBGene00000069,acy-2,0.028167443389249546,3.111509447622237,0.16889313199561878,0.003057039360257663,-1.4388140247684342,0.1558511130062763,0.006069476087478367,0.5906907115976177,0.7371189572489503
WBGene00000071,acy-4,0.1314480691498312,-0.23268781110615855,1,0.1477569024124537,-0.3912144895586467,0.1258000788324318,0.20150660610428178,0.45869516578762726,0.07552163805834915
WBGene00000073,add-2,0.0657240345749156,-2.339701664210092,0.020794297436759646,0.4616129433989071,1.510310055819718,0.00000000011003315329725888,0.1735870161018813,-1.3384690478519334,0.00000003752871200813406
WBGene00000097,aip-1,0.09389147796416515,-1.7910027074757076,0.1440418631307544,0.3321982771479994,-0.155757315502826,0.5660862963513333,0.4054410026435549,0.34280853099637065,0.19515443176104544
WBGene00000098,air-1,0.028167443389249546,-1.0584155538200752,0.5066286007778508,0.008661611520730046,-4.564530426693208,0.0000000000000000000000000000000000000000000004452976145819449,0.24035125306414334,4.571963503528712,0.000000000000000000000000000000000000000000000001751596838794386
WBGene00000102,akt-1,0.20656125152116334,-0.6395008819822474,0.7624816886508584,0.34442643458903,0.22348026977924906,0.407535066627108,0.3059015948089097,-0.13849876491730284,0.67406504161411
WBGene00000110,alh-4,0.11266977355699818,-1.9451630015146535,0.04577618837240415,0.3428979149089012,-0.9947887264581675,0.0000005571994333984069,0.7574706157173002,1.1933039191404606,0.0000000027911859250344443
WBGene00000111,alh-5,0.03755659118566606,-1.6145951539122025,0.20246797400003713,0.057574241284852654,-2.413278932661296,0.0000000000000000000000006133707002861425,0.34353234655127557,2.594760375906665,0.0000000000000000000000000002818219406382459
WBGene00000139,amx-3,0.10328062576058167,-0.6224473966716313,0.8334959873296588,0.05451720192459499,-2.9025570251452137,0.000000000000000000000000000000000006038514446313954,0.4503551256908948,2.971997353563911,0.00000000000000000000000000000000000012335591493553116
WBGene00000142,aos-1,0.028167443389249546,-0.598148800548234,0.8704903876543906,0.04177953792352139,-0.9866067328990487,0.0015486148852019155,0.08982824609467983,1.1302102415576063,0.0003356769663619918
WBGene00000144,apc-10,0.028167443389249546,1.33891994372531,0.5379213178209745,0.005095065600429438,-2.7042751679967676,0.0000017441846340876263,0.0364168565248702,2.4744976940930954,0.000009201287678806042
