Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
WBGene00000003,aat-2,0,-0.7219777404418961,0.9272435439483763,0.005300456000471844,-2.6560279439798826,0.00000014996200539359717,0.03239440934607296,1.7424593189098125,0.00040227845793756477,0.09381530563771538,2.9452454254657225,0.0004618534983259705
WBGene00000007,aat-6,0,-2.1446688122641753,0.33711467968824865,0.06625570000589805,6.071273726511685,0.000000000000000003277993265687481,0,-5.597390683974813,0.000000000000050467941051031863,0,-2.282012751042541,0.1986355421723434
WBGene00000015,abf-4,0,1.6626861097934285,1,0.003710319200330291,1.0939938030117693,0.3801108841866239,0,-1.790035761917208,0.19578083600835225,0.009381530563771537,2.695267172457376,0.5656219907822037
WBGene00000022,abt-4,0.07205102962214663,-0.9421759483654326,0.6723512445067322,0.2003572368178357,1.5939586507250891,0.000000002381506318636696,0.012459388210028063,-3.9255507325736883,0.0000000000000000000000021952520718876307,0.45969499762480537,1.7097667421524905,0.0005973064121501413
WBGene00000024,abu-1,0,3.8326111112357406,1,0.0005300456000471844,0.0939938030117684,1,0,0.3798892395251041,1,0,3.695267172457376,1
WBGene00000030,abu-7,0,2.510683016348379,1,0.0015901368001415533,0.0939938030117684,1,0.0012459388210028061,0.3798892395251041,1,0,2.373339077570014,1
WBGene00000031,abu-8,0,2.510683016348379,1,0.0010600912000943688,-0.9060061969882316,0.6978891540907721,0.0024918776420056123,1.3798892395251041,0.424472094580879,0,2.373339077570014,1
WBGene00000054,acr-15,0,3.2476486105145845,1,0,-2.4909686977093877,0.18029792766759453,0.0012459388210028061,1.3798892395251041,0.6058990188331157,0.009381530563771537,4.695267172457376,0.22616146277921848
WBGene00000055,acr-16,0,2.8326111112357406,1,0.0005300456000471844,-1.4909686977093877,0.37702884174562334,0.0012459388210028061,0.794926738803948,1,0.009381530563771537,4.11030467173622,0.29901210440181786
WBGene00000056,acr-17,0.020586008463470463,3.8326111112357406,0.2415306087749278,0.0005300456000471844,-2.7133611190458353,0.051986343213960985,0.0037378164630084186,1.0579611446377433,0.6207669716431433,0.009381530563771537,2.887912250399772,0.46140513709809816
WBGene00000057,acr-18,0.010293004231735231,4.832611111235741,0.29511261935404914,0.0005300456000471844,-0.9060061969882316,0.6440777755956422,0,-0.20507326119605196,1,0,3.1103046717362197,1
WBGene00000062,acr-23,0,1.5106830163483789,1,0,-4.227934291875593,0.00024476104221403486,0.008721571747019643,2.794926738803949,0.006788004905895427,0.018763061127543074,3.280229673178532,0.1546714929604218
WBGene00000063,act-1,0.3293761354155274,0.534930562595056,0.6735700292147904,0.13145130881170172,-1.7042274796468742,0.0000000003646928505486651,0.21305553839147987,-0.18819944263165533,0.6971096266505425,2.1483704991036823,3.7205782609865627,0.0000000000000001480968914898473
WBGene00000064,act-2,0.49406420312329113,1.2330018345501834,0.1143265780120211,0.052474514404671255,-3.346958395017867,0.000000000000000000000000000000000000005935230758929796,0.5307699377471955,2.3630939969821263,0.000000000000000000001807165702266838,0.6379440783364646,1.6388847025598567,0.0032853475753405214
WBGene00000065,act-3,0.23673909732991033,-0.23347807922203123,1,0.10706921120953125,-2.528382659352504,0.0000000000000000000000002095721570383551,0.44355422027699903,0.9800862539414212,0.00014278580185825377,2.2984749881240267,3.4529063348883318,0.000000000000000043951440001141935
WBGene00000069,acy-2,0.030879012695205696,3.2476486105145854,0.19915720530325326,0.0031802736002831066,-1.2685762763729391,0.23319375352428878,0.006229694105014031,0.6429236453588985,0.6058990188331157,0,0.7883765768488571,1
WBGene00000071,acy-4,0.10293004231735232,-0.5565802105562998,0.994731293109156,0.15212308721354192,-0.2596431516029307,0.3288838462728254,0.20557990546546304,0.49754082817937784,0.05249425920905431,0.0750522445101723,-0.9896762093605487,0.44146426500408026
WBGene00000073,add-2,0.05146502115867616,-2.621345377335405,0.029658254069389718,0.46431994564133355,1.3705809483732976,0.000000001215963232838444,0.17816925140340129,-1.2862361140906526,0.00000017081589716503331,0.3002089780406892,-0.2617469025769794,1
