Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
WBGene00000003,aat-2,0.04485574457233923,0.44100917107383264,0.017779644908374977,0.03300720015607777,-0.44100917107383264,0.017779644908374977
WBGene00000007,aat-6,0.004975595196259477,4.218667178632329,0.000000000014963117536680532,0.00018086137071823436,-4.218667178632329,0.000000000014963117536680532
WBGene00000014,abf-3,0.00015077561200786295,1.3225029896168685,0.5522101753080773,0,-1.3225029896168685,0.5522101753080773
WBGene00000015,abf-4,0.00015077561200786295,1.3225029896168685,0.5522101753080773,0,-1.3225029896168685,0.5522101753080773
WBGene00000022,abt-4,0.013268253856691939,2.8832179440913492,0.00000000000000016761019842827737,0.0017181830218232262,-2.8832179440913492,0.00000000000000016761019842827737
WBGene00000024,abu-1,0.0017339195380904238,1.1525779881745564,0.10455415177917968,0.0007234454828729375,-1.1525779881745564,0.10455415177917968
WBGene00000027,abu-4,0.0004523268360235888,-0.45510458904668205,0.6591042564624473,0.0006330147975138203,0.45510458904668205,0.6591042564624473
WBGene00000029,abu-6,0.00015077561200786295,1.3225029896168685,0.5522101753080773,0,-1.3225029896168685,0.5522101753080773
WBGene00000030,abu-7,0.00007538780600393147,0.7375404888957124,1,0,-0.7375404888957124,1
WBGene00000031,abu-8,0.15198181690392584,3.008176725427792,0.00000000000000000008568312020812809,0.018809582554696374,-3.008176725427792,0.00000000000000000008568312020812809
WBGene00000054,acr-15,0.013419029468699802,2.1769621468015172,0.0000000000017578616942559333,0.00289378193149175,-2.1769621468015172,0.0000000000017578616942559333
WBGene00000055,acr-16,0.012589763602656555,2.0854637923160206,0.00000000003758875558096141,0.00289378193149175,-2.0854637923160206,0.00000000003758875558096141
WBGene00000056,acr-17,0.0036186146881887105,0.4942693378833489,0.23437562355490305,0.002532059190055281,-0.4942693378833489,0.23437562355490305
WBGene00000057,acr-18,0.0024877975981297384,3.2400408294248972,0.000005105215373726921,0.00018086137071823436,-3.2400408294248972,0.000005105215373726921
WBGene00000062,acr-23,0.004749431778247683,2.4156123940083516,0.00017916943994358766,0.0008138761682320545,-2.4156123940083516,0.00017916943994358766
WBGene00000063,act-1,0.5525172302028137,1.0575017190736746,0.00000000003016753278925981,0.2654140615290089,-1.0575017190736746,0.00000000003016753278925981
WBGene00000064,act-2,0.19216351750402133,-1.0757829905105716,0.00000000000369367543856711,0.40512947040884495,1.0757829905105716,0.00000000000369367543856711
WBGene00000065,act-3,1.0683959866877168,1.1963614860336769,0.00000000000003211593009817137,0.466170183026249,-1.1963614860336769,0.0000000000000321159300981862
WBGene00000069,acy-2,0.012137436766632967,1.9899276505299985,0.00000010137764255569652,0.002984212616850867,-1.9899276505299985,0.00000010137764255569652
WBGene00000071,acy-4,0.018093073440943554,2.7435392295171566,0.0000000000000000000007156865977897363,0.002622489875414398,-2.7435392295171566,0.0000000000000000000007156865977897363
WBGene00000073,add-2,0.05103754466466161,1.0765927615742852,0.000000007236103412478505,0.024144992990884285,-1.0765927615742852,0.000000007236103412478505
WBGene00000097,aip-1,0.06882906688158943,-0.6149980017535652,0.0002206272832506715,0.10544217912873063,0.6149980017535652,0.00022062728325068445
WBGene00000098,air-1,0.021711688129132264,-2.79575555864196,0.0000000000000000000000000000000000000000000000000000000041889538426262597,0.15120010592044392,2.79575555864196,0.0000000000000000000000000000000000000000000000000000000041889538426262597
WBGene00000102,akt-1,0.1336625800449705,0.6848407322524017,0.000036813797002225794,0.08310579984502868,-0.6848407322524017,0.00003681379700221946
WBGene00000108,alh-2,0.0015077561200786294,2.544895410953318,0.0011314178041814458,0.00018086137071823436,-2.544895410953318,0.0011314178041814458
