Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
WBGene00000003,aat-2,0.05474008902469236,1.0545563206327708,0.000000005669769265091154,0.031099933717538872,-0.5722657503730417,0.002032108115011616,0.0018715549973457046,-4.205262686236473,0.00000000000007185441718668277
WBGene00000007,aat-6,0.002843640988295707,0.0508229468783874,0.9458239537600897,0.00018294078657375807,-4.1885709109133495,0.00000000003338092853080243,0.01590821747743849,3.3751843333621894,0.00000000005121806517537008
WBGene00000014,abf-3,0.0001777275617684817,1.8008446938700402,0.26168619388851844,0,-1.2924067218978887,0.5545064649951517,0,1.7902218326410342,1
WBGene00000015,abf-4,0.00008886378088424085,0.21588219314888413,1,0,-1.2924067218978887,0.5545064649951517,0.00046788874933642615,3.3751843333621903,0.2590086889601035
WBGene00000022,abt-4,0.005776145757475655,-0.7731466890301135,0.011484029457219437,0.0016464670791638226,-2.935250138699545,0.00000000000000009176375803115394,0.052403539925679726,3.8030458729986183,0.00000000000000000000000000016540391892103725
WBGene00000024,abu-1,0.0019550031794532984,1.4175160543185346,0.04090336836500062,0.0007317631462950323,-1.1224817204555766,0.13689115030635837,0.00046788874933642615,-0.5790119770246847,0.9373291540559399
WBGene00000027,abu-4,0.0006220464661896859,0.4085272710912804,0.6658568372710636,0.0005488223597212742,0.09991070088087106,1,0,-0.43217058869541347,0.7987096586219398
WBGene00000029,abu-6,0.0001777275617684817,1.8008446938700402,0.26168619388851844,0,-1.2924067218978887,0.5545064649951517,0,1.7902218326410342,1
WBGene00000030,abu-7,0.00008886378088424085,1.2158821931488841,0.5154783180135178,0,-0.7074442211767327,1,0,2.3751843333621903,1
WBGene00000031,abu-8,0.1797714287288192,3.540664285091399,0.0000000000000000000000000003013411600619083,0.01801966747751517,-3.0639295381004636,0.00000000000000000003440382655285642,0.0018715549973457046,-5.419881249297429,0.000000008128731698028614
WBGene00000054,acr-15,0.015640025435626388,2.5542047262869145,0.000000000000000015036183888634006,0.00283558219189325,-2.1992973175064074,0.000000000001635720280836193,0.0014036662480092785,-2.3252553847789024,0.001197499120356278
WBGene00000055,acr-16,0.01475138762678398,2.512123644372598,0.000000000000000466107511536157,0.003018522978467008,-2.0036856724004455,0.00000000019058821297065836,0,-4.268671856412534,0.000010468879001951769
WBGene00000056,acr-17,0.00417659770155932,0.8939540982615206,0.03138728770302461,0.002561171012032613,-0.4641730701643674,0.27484061131781756,0.00046788874933642615,-1.872743180081395,0.0574994833767393
WBGene00000057,acr-18,0.002932504769179948,3.718382533678067,0.00000006707347133462048,0.00018294078657375807,-3.2099445617059157,0.0000055811465295966326,0,-1.794740668080122,0.15492794264541015
WBGene00000062,acr-23,0.005509554414822932,2.7337304980115027,0.000009629291427063539,0.0008232335395819113,-2.385516126289371,0.00018395002602782448,0.00046788874933642615,-1.794740668080122,0.3018389203995088
WBGene00000063,act-1,0.6445290027533989,1.4839371684472356,0.0000000000000000000020012066933659734,0.26069062086760525,-1.086422874580773,0.000000000009801325554067319,0.07533008864316461,-2.587604587540737,0.0000000000009468478210153792
WBGene00000064,act-2,0.2256251396650875,-0.6063260319711608,0.0001462149070332532,0.405305312654161,1.062557026400255,0.0000000000067102357528964326,0.027605436210849144,-3.485074983314144,0.0000000000000000006211378929320959
WBGene00000065,act-3,1.2469365733676674,1.6217306297638803,0.00000000000000000000000009453788712899295,0.4571690256478214,-1.2267713986427178,0.00000000000000865521216266181,0.13896295855291857,-2.621710896960596,0.00000000000019735472594349767
WBGene00000069,acy-2,0.014929115188552462,2.8618741272675985,0.00000000000003022358861147557,0.0021952894388850967,-2.4814405462879057,0.0000000002017006912777878,0.0009357774986728523,-2.6323102031847343,0.004773457576299988
WBGene00000071,acy-4,0.01155229151495131,0.12002217774136703,0.6542257828299073,0.003933226911335798,-2.0745610898303504,0.00000000000001105774860472847,0.04491731993629691,2.5321536797005892,0.00000000000000011937447366115458
WBGene00000073,add-2,0.03741165175226539,-0.09644161968138132,0.6342088887165435,0.02350789107472791,-1.1224817204555766,0.00000000178561078512542,0.12445840732348935,2.0286125008050124,0.000000000000000612402762356177
WBGene00000097,aip-1,0.06575919785433822,-0.6388053598904171,0.00016764331526874623,0.10702036014564847,0.6563584042384236,0.00007907678741539038,0.07907319863785602,-0.11553679347756463,0.9330087879810064
