32524
Y74C9A.3.1	4115	10229	10229	2	5	0	16994
Y74C9A.2a.3	11494	16792	10229	1	5	5	16993
Y74C9A.2a.1	11494	16836	16792	1	4	10	16993
Y74C9A.2a.2	11617	16832	16836	1	3	14	16993
Y74C9A.2b.1	15102	16584	16836	1	2	17	16993
Y74C9A.4a.1	17483	26780	16836	2	12	19	16995
Y74C9A.4b.1	17486	26780	26780	2	12	31	16995
Y74C9A.4d.1	17910	21126	26780	2	6	43	16995
Y74C9A.4c.1	17910	26642	26780	2	11	49	16995
Y74C9A.5.2	27588	33149	26780	2	6	60	16996
Y74C9A.5.1	27590	32547	33149	2	5	66	16996
Y74C9A.1.1	43732	44676	33149	1	5	71	16992
Y48G1C.12.1	47460	49859	44676	1	4	76	17102
Y48G1C.4a.1	49920	54425	49859	1	7	80	16881
Y48G1C.4b.1	52369	54359	54425	1	5	87	16881
Y48G1C.5.1	55292	64065	54425	2	12	92	16882
Y48G1C.2b.1	71424	80343	64065	1	13	104	14566
Y48G1C.2a.2	71844	81155	80343	1	12	117	14566
Y48G1C.2a.3	71861	81062	81155	1	13	129	14566
Y48G1C.2a.1	72510	81060	81155	1	11	142	14566
Y48G1C.2c.1	79354	80343	81155	1	2	153	14566
Y48G1C.10a.1	81192	91295	81155	1	16	155	16886
Y48G1C.10a.2	81202	91295	91295	1	16	171	16886
Y48G1C.6.1	83991	86292	91295	2	3	187	16883
Y48G1C.10b.1	86840	90606	91295	1	7	190	16886
Y48G1C.10c.1	89479	90606	91295	1	2	197	16886
Y48G1C.9a.1	91403	92719	91295	1	2	199	16885
Y48G1C.9b.1	92582	92647	92719	1	1	201	16885
Y48G1C.1.1	93021	94883	92719	1	6	202	16880
Y48G1C.13.1	94828	95311	94883	2	3	208	17217
Y48G1C.8a.1	96458	108222	95311	2	14	211	16884
Y48G1C.8b.1	96470	108166	108222	2	14	225	16884
F53G12.1.1	108681	110056	108222	2	4	239	14915
F53G12.10.1	111037	112271	110056	1	5	243	14934
F53G12.10.2	111037	112416	112271	1	6	248	14934
F53G12.9a.1	112284	113750	112416	1	6	254	16521
F53G12.9b.1	113313	113660	113750	1	3	260	16521
F53G12.8.1	113806	114707	113750	1	3	263	16520
F53G12.7a.1	115686	117497	114707	1	4	266	14537
F53G12.7b.1	116461	117400	117497	1	3	270	14537
F53G12.6.1	118092	120900	117497	1	7	273	14992
F53G12.5b.1	127284	134269	120900	1	8	280	14797
F53G12.5a.2	127285	134268	134269	1	8	288	14797
F53G12.5a.3	127383	134268	134269	1	7	296	14797
F53G12.5a.1	128696	134266	134269	1	6	303	14797
F53G12.5c.1	132261	133581	134269	1	3	309	14797
F53G12.4.1	134336	137281	134269	1	5	312	16519
F53G12.3.1	137844	144564	137281	1	21	317	16518
F53G12.18.1	144810	146513	144564	1	2	338	17293
F56C11.1.2	145967	154854	146513	2	19	340	14494
F56C11.1.1	146485	154854	154854	2	19	359	14494
F56C11.2a.2	160171	169762	154854	2	15	378	14907
F56C11.2a.1	160189	166818	169762	2	14	393	14907
F56C11.2b.1	160403	164956	169762	2	10	407	14907
F56C11.6a.2	171222	176039	169762	1	9	417	16555
F56C11.6b.1	171339	175931	176039	1	9	426	16555
F56C11.6a.1	173411	175988	176039	1	8	435	16555
F56C11.6c	173421	175931	176039	1	7	443	16555
F56C11.5b.1	178523	182158	176039	1	5	450	16554
F56C11.5a.1	180080	182160	182158	1	5	455	16554
F56C11.3.1	182067	182771	182160	2	4	460	16553
Y48G1BL.2a.1	183363	208383	182771	1	28	464	14488
Y48G1BL.2b.1	192694	207951	208383	1	19	492	14488
Y48G1BL.7.1	209280	211737	208383	1	6	511	16876
Y48G1BL.8.1	217927	219136	211737	1	2	517	17284
Y48G1BM.10.1	231577	234426	219136	2	2	519	17332
Y48G1BM.6a.1	233173	237597	234426	2	7	521	16878
Y48G1BM.6d	233272	237852	237597	2	7	528	16878
