Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
WBGene00000003,aat-2,0.05462782956736254,0.8326333150456007,0.00011772527782778369,0.030625436082447326,-0.8326333150456007,0.00011772527782778369
WBGene00000007,aat-6,0.003269066966235869,3.528529108041745,0.000008197299606298172,0.00019383187393954003,-3.528529108041745,0.000008197299606298172
WBGene00000014,abf-3,0.0001720561561176773,1.4130518906218086,0.5573267164506541,0,-1.4130518906218086,0.5573267164506541
WBGene00000015,abf-4,0.00008602807805883865,0.8280893899006525,1,0,-0.8280893899006525,1
WBGene00000022,abt-4,0.008688835883942704,2.4130518906218077,0.000000008990348506237213,0.0015506549915163203,-2.4130518906218077,0.000000008990348506237213
WBGene00000024,abu-1,0.001978645795353289,1.2431268891794964,0.1086633887220566,0.0007753274957581601,-1.2431268891794964,0.1086633887220566
WBGene00000027,abu-4,0.0007742527025295479,0.8280893899006525,0.3999308439540642,0.00038766374787908007,-0.8280893899006525,0.3999308439540642
WBGene00000029,abu-6,0.0001720561561176773,1.4130518906218086,0.5573267164506541,0,-1.4130518906218086,0.5573267164506541
WBGene00000030,abu-7,0.00008602807805883865,0.8280893899006525,1,0,-0.8280893899006525,1
WBGene00000031,abu-8,0.17463699845944247,3.2161510720096773,0.000000000000000007469795880746865,0.018704775835165614,-3.2161510720096773,0.000000000000000007469795880746865
WBGene00000054,acr-15,0.015657110206708635,2.5364343061270898,0.0000000000006140941862031943,0.0026167302981837904,-2.5364343061270898,0.0000000000006140941862031943
WBGene00000055,acr-16,0.014366689035826054,2.176012693320959,0.0000000005146451447621597,0.0031013099830326405,-2.176012693320959,0.0000000005146451447621597
WBGene00000056,acr-17,0.003957291590706578,0.5246972464507174,0.27122444408541085,0.002713646235153561,-0.5246972464507174,0.27122444408541085
WBGene00000057,acr-18,0.002924954654000514,3.3724099061244637,0.000007095625271454742,0.00019383187393954003,-3.3724099061244637,0.000007095625271454742
WBGene00000062,acr-23,0.005419768917706835,2.506161295013289,0.0003471415717070441,0.0008722434327279302,-2.506161295013289,0.0003471415717070441
WBGene00000063,act-1,0.6383283391965828,1.2415077390006886,0.00000000010894184749877247,0.2699108844608095,-1.2415077390006886,0.00000000010894184749877556
WBGene00000064,act-2,0.22539356451415726,-0.8878064940551365,0.0000025371134846520943,0.4171261927178902,0.8878064940551365,0.0000025371134846516568
