"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Y38H6C.24",2.29799457354643e-33,1.6292386476903,0.703,0.087,2.51952125043631e-29,"0","Y38H6C.24"
"F19B10.13",7.55977773789816e-33,1.19771772044103,0.622,0.052,8.28854031183154e-29,"0","F19B10.13"
"C24B5.4",1.85527383549757e-31,0.920603271839384,0.73,0.119,2.03412223323954e-27,"0","C24B5.4"
"zip-10",4.63316733190338e-28,2.5970088751744,0.838,0.265,5.07980466269887e-24,"0","zip-10"
"C48D1.5",1.3726351543202e-24,0.351620792832544,0.608,0.077,1.50495718319667e-20,"0","C48D1.5"
"F26A10.2",1.61818181480758e-24,1.01729077747907,0.784,0.2,1.77417454175503e-20,"0","F26A10.2"
"zip-5",1.70993046350415e-24,1.34782969608795,0.851,0.3,1.87476776018595e-20,"0","zip-5"
"arrd-3",4.63656586827652e-24,1.14465009347778,0.432,0.029,5.08353081797837e-20,"0","arrd-3"
"pqn-67",6.82592288773881e-24,0.665238637840678,0.459,0.039,7.48394185411683e-20,"0","pqn-67"
"cest-3",2.51849181788402e-23,0.875444796817071,0.73,0.177,2.76127442912804e-19,"0","cest-3"
"C49G7.10",3.42698964579699e-23,1.13702450298424,0.541,0.071,3.75735144765182e-19,"0","C49G7.10"
"F08G2.5",6.53941117721218e-23,2.14061025267339,0.878,0.339,7.16981041469543e-19,"0","F08G2.5"
"pho-9",1.35545698021284e-22,0.628880689262422,0.73,0.174,1.48612303310535e-18,"0","pho-9"
"K09D9.1",2.73415915117669e-22,2.17091004854924,0.743,0.219,2.99773209335013e-18,"0","K09D9.1"
"cyp-33A1",3.63989905536665e-22,1.18268756589954,0.838,0.265,3.990785324304e-18,"0","cyp-33A1"
"C08B6.10",1.14532446797104e-21,0.367925585597587,0.405,0.032,1.25573374668345e-17,"0","C08B6.10"
"M28.8",2.88072736472462e-21,0.914261313979133,0.865,0.342,3.15842948268407e-17,"0","M28.8"
"ugt-25",3.36094906506064e-21,1.31573970252216,0.392,0.029,3.68494455493249e-17,"0","ugt-25"
"C18A11.1",3.80621822249911e-21,1.16919091881397,0.865,0.361,4.17313765914802e-17,"0","C18A11.1"
"B0205.13",4.12672830783941e-21,1.63695968101152,0.554,0.09,4.52454491671513e-17,"0","B0205.13"
"math-27",4.58471994857832e-21,0.921974074887235,0.689,0.155,5.02668695162127e-17,"0","math-27"
"PDB1.1",6.44824407628732e-21,0.945608944755089,0.73,0.197,7.06985480524142e-17,"0","PDB1.1"
"T01D3.6",6.84414402561914e-21,1.56525593353714,0.865,0.326,7.50391950968882e-17,"0","T01D3.6"
"C17E7.13",7.34464198195924e-21,0.698507738042571,0.824,0.281,8.05266546902011e-17,"0","C17E7.13"
"lyst-1",7.36221022012679e-21,0.653373367185203,0.784,0.248,8.07192728534701e-17,"0","lyst-1"
"Y71F9B.9",1.01361446204856e-20,1.21555535510087,0.824,0.348,1.11132689619004e-16,"0","Y71F9B.9"
