,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
C10A4.3,5.54E-106,2.024783658,0.91,0.09,7.55E-102,0,C10A4.3
T19D7.6,4.95E-104,1.89015406,0.843,0.072,6.74E-100,0,T19D7.6
cht-4,2.11E-77,1.507864883,0.896,0.14,2.87E-73,0,cht-4
dao-2,8.83E-77,2.28076513,0.97,0.166,1.20E-72,0,dao-2
cpz-1,1.19E-75,2.988652326,1,0.335,1.62E-71,0,cpz-1
ttr-52,2.21E-75,1.610577123,0.933,0.155,3.02E-71,0,ttr-52
sams-5,4.89E-75,1.624219693,0.91,0.136,6.66E-71,0,sams-5
ttr-50,9.87E-74,3.322341435,1,0.44,1.35E-69,0,ttr-50
cpl-1,2.51E-71,2.801231114,0.993,0.437,3.42E-67,0,cpl-1
T12G3.4,5.95E-71,1.273759014,0.94,0.216,8.11E-67,0,T12G3.4
ppt-1,2.86E-70,2.116030573,0.985,0.213,3.90E-66,0,ppt-1
rnst-2,7.72E-70,1.645481888,0.963,0.172,1.05E-65,0,rnst-2
klo-1,8.18E-69,1.626053631,0.888,0.205,1.12E-64,0,klo-1
mig-6,5.71E-67,1.703954256,0.978,0.224,7.79E-63,0,mig-6
C14H10.2,8.90E-67,1.669028239,0.776,0.125,1.21E-62,0,C14H10.2
C33G3.4,2.33E-66,1.837443442,0.978,0.212,3.18E-62,0,C33G3.4
T19B10.2,1.71E-65,1.780027771,0.97,0.231,2.33E-61,0,T19B10.2
ent-2,2.03E-64,1.908964683,0.978,0.278,2.77E-60,0,ent-2
T16G12.13,5.25E-64,1.664579266,0.903,0.21,7.15E-60,0,T16G12.13
C54D10.13,6.14E-62,1.359336167,0.866,0.197,8.38E-58,0,C54D10.13
F46E10.2,6.18E-62,2.132279024,1,0.327,8.43E-58,0,F46E10.2
ZK899.2,7.64E-62,1.613353986,0.97,0.345,1.04E-57,0,ZK899.2
cest-17,3.28E-61,1.691681592,0.963,0.387,4.48E-57,0,cest-17
clec-266,1.08E-57,2.231425386,0.985,0.342,1.47E-53,0,clec-266
C44F1.1,2.84E-57,1.086560132,0.813,0.21,3.87E-53,0,C44F1.1
M79.2,1.94E-55,1.018645251,0.724,0.126,2.65E-51,0,M79.2
aman-1,2.02E-55,1.739587366,0.955,0.392,2.76E-51,0,aman-1
pmp-2,2.07E-55,1.674170483,0.963,0.406,2.82E-51,0,pmp-2
gba-3,3.38E-55,1.40842974,0.828,0.148,4.61E-51,0,gba-3
fbxc-51,6.67E-55,1.208292577,0.896,0.18,9.10E-51,0,fbxc-51
ugt-53,9.32E-55,1.636019534,0.724,0.113,1.27E-50,0,ugt-53
cnc-10,1.28E-54,2.407260336,0.694,0.118,1.74E-50,0,cnc-10
lam-3,1.38E-54,1.496516523,0.955,0.285,1.88E-50,0,lam-3
Y71F9B.1,1.16E-53,1.103804936,0.731,0.136,1.58E-49,0,Y71F9B.1
unc-129,1.61E-53,1.356764177,0.716,0.128,2.20E-49,0,unc-129
cpr-6,1.69E-53,1.787280739,0.993,0.682,2.31E-49,0,cpr-6
F37H8.5,5.06E-52,1.052469121,0.836,0.175,6.90E-48,0,F37H8.5
lam-2,7.93E-52,1.307842793,0.948,0.24,1.08E-47,0,lam-2
W07E11.1,8.36E-52,1.208408011,0.91,0.313,1.14E-47,0,W07E11.1
F42F12.3,7.11E-51,1.010483807,0.739,0.148,9.69E-47,0,F42F12.3
F07H5.13,8.16E-51,1.783488722,0.985,0.592,1.11E-46,0,F07H5.13
igcm-3,2.12E-48,1.04445487,0.925,0.22,2.89E-44,0,igcm-3
ugt-23,2.51E-47,1.225825299,0.978,0.385,3.42E-43,0,ugt-23
acs-14,3.24E-47,1.243427797,0.896,0.294,4.41E-43,0,acs-14
hbl-1,3.56E-47,1.10244744,0.836,0.236,4.85E-43,0,hbl-1
T12G3.2,7.81E-47,1.209625916,0.873,0.278,1.06E-42,0,T12G3.2
hsp-70,2.24E-46,2.079879818,0.724,0.166,3.05E-42,0,hsp-70
cyn-6,4.07E-45,1.63921298,0.933,0.396,5.55E-41,0,cyn-6
inx-2,5.14E-45,1.124590377,0.851,0.195,7.01E-41,0,inx-2
R11A5.3,8.27E-45,2.612275572,0.806,0.246,1.13E-40,0,R11A5.3
snu-13,1.06E-44,1.537320074,0.955,0.729,1.45E-40,0,snu-13
lam-1,1.17E-44,1.32684788,0.948,0.288,1.60E-40,0,lam-1
fgt-1,1.67E-44,1.32623598,0.918,0.355,2.27E-40,0,fgt-1
epi-1,8.54E-44,1.239569312,0.881,0.237,1.16E-39,0,epi-1
lect-2,1.68E-43,1.070394666,0.873,0.237,2.29E-39,0,lect-2
ZK550.6,5.01E-43,1.400432303,0.97,0.583,6.83E-39,0,ZK550.6
idh-2,1.24E-42,1.052421491,0.866,0.297,1.68E-38,0,idh-2
pycr-1,3.99E-42,1.187923466,0.866,0.379,5.44E-38,0,pycr-1
T12B3.3,1.02E-41,1.04838494,0.836,0.294,1.39E-37,0,T12B3.3
cwn-2,1.59E-41,1.073844416,0.948,0.362,2.17E-37,0,cwn-2
ech-1.2,3.18E-41,1.407047437,0.978,0.674,4.33E-37,0,ech-1.2
eef-1A.2,7.19E-41,1.145784873,0.993,0.855,9.80E-37,0,eef-1A.2
F19C6.5,9.81E-41,1.036203316,0.866,0.379,1.34E-36,0,F19C6.5
lact-4,2.08E-40,1.425601862,0.948,0.506,2.83E-36,0,lact-4
fat-3,2.49E-40,1.226461316,0.828,0.361,3.40E-36,0,fat-3
nrf-6,3.22E-40,1.088205948,0.776,0.251,4.39E-36,0,nrf-6
elt-7,4.43E-40,1.131105253,0.881,0.353,6.04E-36,0,elt-7
F52A8.1,3.22E-39,1.313949183,0.925,0.453,4.39E-35,0,F52A8.1
B0495.7,3.44E-39,1.331826389,0.925,0.521,4.70E-35,0,B0495.7
B0303.3,6.12E-39,1.176443924,0.963,0.634,8.34E-35,0,B0303.3
EEED8.2,1.23E-38,1.130241898,0.91,0.395,1.68E-34,0,EEED8.2
dif-1,2.23E-38,1.246261512,0.94,0.539,3.05E-34,0,dif-1
nuc-1,3.00E-38,1.012619072,0.888,0.404,4.09E-34,0,nuc-1
fib-1,4.93E-38,1.1839377,0.963,0.719,6.72E-34,0,fib-1
maoc-1,1.73E-37,1.298935249,0.94,0.566,2.36E-33,0,maoc-1
rbm-3.2,2.28E-37,1.01247457,1,0.889,3.10E-33,0,rbm-3.2
lmp-1,2.98E-37,1.332266268,0.955,0.754,4.07E-33,0,lmp-1
pnp-1,7.45E-37,1.117330783,0.963,0.529,1.02E-32,0,pnp-1
alh-13,5.68E-36,1.142356661,0.948,0.491,7.75E-32,0,alh-13
eat-6,8.58E-36,-3.047631779,0.254,0.746,1.17E-31,0,eat-6
hsp-16.41,1.60E-35,1.994227481,0.963,0.659,2.19E-31,0,hsp-16.41
ret-1,2.14E-35,1.155818216,0.985,0.682,2.91E-31,0,ret-1
pygl-1,5.87E-35,1.014441369,0.791,0.273,8.01E-31,0,pygl-1
spp-5,7.85E-35,-3.608785131,0.052,0.658,1.07E-30,0,spp-5
K06G5.1,3.96E-34,-3.340217244,0.06,0.655,5.40E-30,0,K06G5.1
C39B10.7,1.10E-33,1.073634507,1,0.696,1.49E-29,0,C39B10.7
nhr-232,2.11E-33,1.207097373,0.784,0.301,2.88E-29,0,nhr-232
C39H7.4,2.42E-33,-2.055143049,0.007,0.62,3.29E-29,0,C39H7.4
nep-17,2.53E-33,-3.818118147,0.067,0.65,3.45E-29,0,nep-17
nspg-6,6.52E-33,-2.61118554,0.052,0.642,8.89E-29,0,nspg-6
asp-3,1.10E-32,-4.106278072,0.09,0.653,1.50E-28,0,asp-3
pept-1,1.31E-32,-2.602813221,0.015,0.616,1.78E-28,0,pept-1
gln-3,1.53E-32,1.321258763,0.963,0.668,2.08E-28,0,gln-3
pqn-89,2.50E-32,-2.442923589,0.187,0.688,3.40E-28,0,pqn-89
nol-58,2.60E-32,1.03250624,0.955,0.67,3.55E-28,0,nol-58
C06A8.8,3.76E-32,1.046210123,0.687,0.198,5.13E-28,0,C06A8.8
zip-12,5.04E-32,1.175670093,0.933,0.661,6.87E-28,0,zip-12
R08E3.1,6.88E-32,-1.987299991,0.022,0.611,9.38E-28,0,R08E3.1
nucl-1,8.59E-32,1.02464856,0.97,0.722,1.17E-27,0,nucl-1
nol-56,8.86E-32,1.067655256,0.933,0.678,1.21E-27,0,nol-56
cpt-1,2.39E-31,1.104455363,0.963,0.704,3.26E-27,0,cpt-1
lec-9,2.54E-31,-4.647696413,0.306,0.718,3.46E-27,0,lec-9
asp-1,3.48E-31,-5.208518767,0.172,0.67,4.75E-27,0,asp-1
C26B9.5,4.48E-31,-2.356814173,0.015,0.597,6.11E-27,0,C26B9.5
C15H9.9,6.33E-31,-2.526278363,0.037,0.609,8.63E-27,0,C15H9.9
nhr-205,7.27E-31,1.184662323,0.56,0.136,9.91E-27,0,nhr-205
B0507.3,9.09E-31,1.157284044,0.799,0.369,1.24E-26,0,B0507.3
F56H9.2,1.06E-30,1.158428116,0.866,0.464,1.45E-26,0,F56H9.2
tkt-1,1.18E-30,1.059798327,0.94,0.639,1.61E-26,0,tkt-1
acdh-2,1.33E-30,1.162091254,0.642,0.176,1.82E-26,0,acdh-2
pcp-1,1.49E-30,-3.036448381,0.022,0.594,2.03E-26,0,pcp-1
C49C3.4,2.51E-30,-2.169223041,0.045,0.604,3.42E-26,0,C49C3.4
F56D5.6,5.66E-30,-2.281192775,0.045,0.6,7.72E-26,0,F56D5.6
asp-5,8.25E-30,-3.383982839,0.037,0.594,1.13E-25,0,asp-5
F59C6.14,8.67E-30,-1.7440936,0.015,0.581,1.18E-25,0,F59C6.14
math-41,1.04E-29,-2.009440186,0.09,0.623,1.41E-25,0,math-41
C44H9.7,1.57E-29,1.213588267,0.903,0.541,2.14E-25,0,C44H9.7
nkb-3,1.79E-29,-1.884828454,0.022,0.582,2.44E-25,0,nkb-3
