228411
0	242	0
1079	1180	243
1921	2211	345
5611	5730	636
5979	6114	756
0	66	0
123	194	67
3456	3665	139
4978	5090	349
5207	5298	462
0	66	0
123	194	67
3456	3665	139
4978	5342	349
0	71	0
3333	3542	72
4855	5215	282
0	57	0
1370	1482	58
0	474	0
522	631	475
1531	1757	585
2787	2994	812
3364	3480	1020
3529	3655	1137
7167	7361	1264
7445	7606	1459
7789	7988	1621
8887	9040	1821
9106	9197	1975
9249	9297	2067
0	471	0
519	628	472
1528	1754	582
2784	2991	809
3361	3477	1017
3526	3652	1134
7164	7358	1261
7442	7603	1456
7786	7985	1618
8884	9037	1818
9103	9203	1972
9246	9294	2073
0	47	0
95	204	48
1104	1330	158
2360	2567	385
2937	3053	593
3102	3216	710
0	47	0
95	204	48
1104	1330	158
2360	2567	385
2937	3053	593
3102	3228	710
6740	6934	837
7018	7179	1032
7362	7561	1194
8460	8613	1394
8679	8732	1548
0	816	0
1511	1778	817
2180	2835	1085
4180	4483	1741
4823	4953	2045
5448	5561	2176
0	814	0
1509	1776	815
2178	2833	1083
4178	4481	1739
4821	4957	2043
0	228	0
297	501	229
548	591	434
639	735	478
788	944	575
0	149	0
235	397	150
887	1069	313
1790	2399	496
0	95	0
894	1109	96
2362	2489	312
2545	2651	440
3345	3416	547
3470	3774	619
4023	4505	924
0	40	0
96	202	41
896	967	148
1021	1325	220
1574	1990	525
0	157	0
597	754	158
831	1000	316
1244	1394	486
1579	1760	637
1964	2332	819
3752	4943	1188
5943	6758	2380
7481	7681	3196
8504	8563	3397
8611	8679	3457
8725	8773	3526
0	86	0
422	507	87
1086	1165	173
1222	1472	253
1516	1592	504
2180	2341	581
3200	3383	743
3746	4065	927
4526	4687	1247
5524	5728	1409
6288	6374	1614
7888	8022	1701
8881	8919	1836
0	87	0
666	745	88
802	1052	168
1096	1172	419
1760	1921	496
2780	2963	658
3326	3645	842
4106	4267	1162
5104	5308	1324
5868	5954	1529
7468	7602	1616
8461	9311	1751
0	70	0
649	728	71
785	1035	151
1079	1155	402
1743	1904	479
2763	2946	641
3309	3628	825
4089	4250	1145
5087	5291	1307
5851	5937	1512
7451	7585	1599
8444	8699	1734
8952	9201	1990
0	79	0
136	386	80
430	506	331
1094	1255	408
2114	2297	570
2660	2979	754
3440	3601	1074
4438	4642	1236
5202	5288	1441
6802	6936	1528
7795	8550	1663
0	92	0
951	989	93
0	79	0
692	770	80
823	944	159
1393	1483	281
1988	2227	372
2997	3120	612
3195	3374	736
3421	3545	916
3643	3792	1041
5631	5711	1191
5841	6030	1272
